,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.82,0.88,0.93,0.78,0.8,0.83,0.93,0.85,1.0,0.89,0.0,0.76
echongl.csv,0.92,0.82,0.9,0.68,0.9,0.54,0.0,0.86,0.76,0.65,1.11,0.89
hazelcast.csv,0.76,0.0,0.91,0.91,0.77,0.92,0.95,0.82,0.92,0.67,0.87,0.8
japano.csv,0.94,1.0,0.89,0.98,0.0,0.96,0.98,0.96,1.0,0.95,0.92,0.97
jmol.csv,0.58,0.45,0.79,0.66,0.9,0.0,0.61,0.65,0.8,0.69,0.94,0.61
mobicents.csv,0.48,0.66,0.8,0.0,0.7,0.52,0.45,0.47,0.8,0.58,0.56,0.56
nunit.csv,0.87,1.01,0.9,0.66,0.46,0.67,0.92,0.6,1.02,0.73,0.43,0.03
openefm.csv,0.01,1.02,0.74,0.58,0.75,0.67,0.82,0.53,0.81,0.95,0.55,0.59
snakeyaml.csv,0.87,0.89,0.75,0.74,0.56,0.69,0.67,0.0,0.82,0.81,0.7,0.83
trackit.csv,0.9,0.63,0.0,0.74,0.74,0.99,0.36,0.91,0.76,0.82,1.08,0.78
unicase.csv,0.89,0.63,0.79,0.81,1.02,0.79,0.9,0.83,0.82,0.01,0.85,0.59
wheat.csv,0.74,0.62,0.71,0.73,0.77,0.89,0.81,0.76,0.0,0.77,0.67,0.78
