,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.04,0.4,0.09,0.09,0.11,0.09,0.0,0.0,0.0,0.04,0.0,0.09
echongl.csv,0.15,0.5,0.0,0.26,0.56,0.17,0.0,0.27,0.54,0.43,0.48,0.55
hazelcast.csv,0.76,0.0,0.87,0.9,0.67,0.91,0.95,0.82,0.92,0.66,0.87,0.78
japano.csv,0.94,1.0,0.87,0.98,0.0,0.96,0.97,0.96,1.0,0.93,0.92,0.97
jmol.csv,0.49,0.2,0.3,0.58,0.78,0.0,0.37,0.5,0.62,0.59,0.9,0.49
mobicents.csv,0.34,0.4,0.17,0.0,0.56,0.17,0.29,0.15,0.17,0.31,0.56,0.26
nunit.csv,0.87,1.0,0.87,0.23,0.33,0.26,0.29,0.09,0.21,0.13,0.21,0.0
openefm.csv,0.01,1.0,0.7,0.32,0.11,0.17,0.21,0.49,0.21,0.91,0.23,0.22
snakeyaml.csv,0.84,0.8,0.74,0.68,0.44,0.52,0.63,0.0,0.75,0.77,0.65,0.8
trackit.csv,0.76,0.4,0.0,0.5,0.33,0.61,0.24,0.4,0.67,0.69,0.4,0.6
unicase.csv,0.87,0.6,0.74,0.8,1.0,0.78,0.89,0.54,0.46,0.01,0.81,0.52
wheat.csv,0.46,0.2,0.04,0.32,0.44,0.13,0.68,0.18,0.0,0.37,0.23,0.55
