,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.67,0.75,0.6,0.73,0.96,0.9,1.0,1.0,0.0,0.86,1.0,0.42
echongl.csv,0.23,0.79,1.0,0.6,0.88,0.92,1.0,0.09,0.5,0.76,0.0,0.12
hazelcast.csv,0.39,1.0,0.6,0.52,0.93,0.82,0.73,0.16,0.55,0.78,0.13,0.22
japano.csv,0.33,0.84,0.63,0.5,1.0,0.82,0.7,0.13,0.54,0.71,0.14,0.21
jmol.csv,0.41,0.94,0.61,0.55,0.91,1.0,0.78,0.15,0.48,0.74,0.11,0.25
mobicents.csv,0.49,0.87,0.69,1.0,0.93,0.93,0.86,0.36,0.6,0.81,0.22,0.34
nunit.csv,0.34,0.82,0.61,0.63,0.97,0.87,0.54,0.41,0.0,0.85,0.31,1.0
openefm.csv,0.97,0.81,0.66,0.63,0.97,0.9,0.72,0.19,0.55,0.68,0.25,0.35
snakeyaml.csv,0.31,0.81,0.67,0.52,0.95,0.82,0.76,1.0,0.51,0.72,0.15,0.2
trackit.csv,0.25,0.88,1.0,0.49,0.93,0.61,0.89,0.07,0.53,0.68,0.0,0.18
unicase.csv,0.31,0.88,0.64,0.53,0.92,0.83,0.73,0.09,0.45,1.0,0.12,0.27
wheat.csv,0.31,0.92,0.92,0.53,0.92,0.8,0.69,0.18,1.0,0.69,0.2,0.18
