,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.25,0.81,0.39,0.13,0.51,0.54,0.4,0.57,0.33,0.95,0.38,0.57,0.26
ftm.csv,0.78,0.28,0.44,0.19,0.59,0.55,0.54,0.68,0.33,0.78,0.33,0.96,0.68
google-web-toolkit.csv,0.55,0.33,0.43,0.15,0.5,1.0,0.49,0.46,0.08,0.46,0.39,0.59,0.82
gzigzag.csv,0.49,0.37,0.96,0.13,0.31,0.42,0.33,0.51,0.17,0.01,0.2,0.44,0.1
illumination.csv,0.29,0.01,0.22,0.06,0.44,0.4,0.23,0.54,0.94,0.03,0.51,0.39,0.29
jcache.csv,0.66,0.4,0.37,0.18,0.69,0.59,0.51,0.57,0.34,0.94,0.6,0.32,0.99
moast.csv,0.09,0.03,0.22,0.06,0.09,0.14,0.05,0.0,0.0,0.99,0.17,0.03,0.24
nativeclient.csv,0.76,0.41,0.44,0.14,0.66,0.63,0.58,0.68,0.4,0.2,0.98,0.62,0.5
ns-3-dev-def-routing.csv,0.55,0.37,0.17,0.2,0.29,0.32,0.95,0.52,0.23,0.65,0.2,0.53,0.25
openfrag.csv,0.77,0.37,0.4,0.15,0.95,0.72,0.55,0.78,0.35,0.96,0.7,0.66,0.73
qdvdauthor.csv,0.31,0.37,0.32,0.18,0.64,0.58,0.52,1.0,0.25,0.63,0.48,0.5,0.54
sauerbraten.csv,0.99,0.39,0.29,0.17,0.54,0.33,0.46,0.46,0.22,0.94,0.35,0.56,0.35
zoolib.csv,0.44,0.02,0.11,0.81,0.24,0.05,0.23,0.18,0.0,0.14,0.0,0.06,0.0
