,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.39,0.88,0.26,0.07,0.51,0.6,0.37,0.7,0.24,0.96,0.48,0.48,0.26
ftm.csv,0.71,0.23,0.35,0.13,0.79,0.67,0.52,0.82,0.32,0.95,0.65,0.97,0.75
google-web-toolkit.csv,0.74,0.26,0.33,0.17,0.8,1.0,0.51,0.81,0.11,0.81,0.67,0.59,0.84
gzigzag.csv,0.68,0.4,1.0,0.09,0.56,0.59,0.36,0.7,0.16,0.5,0.44,0.56,0.11
illumination.csv,0.47,0.02,0.24,0.03,0.52,0.57,0.28,0.67,1.0,0.2,0.55,0.51,0.75
jcache.csv,0.79,0.26,0.27,0.13,0.79,0.61,0.45,0.78,0.29,0.95,0.84,0.52,1.0
moast.csv,0.5,0.19,0.29,0.5,1.0,0.5,0.33,0.0,0.0,1.0,0.88,0.5,0.62
nativeclient.csv,0.68,0.26,0.3,0.08,0.61,0.59,0.45,0.74,0.28,0.56,1.0,0.51,0.4
ns-3-dev-def-routing.csv,0.55,0.26,0.22,0.12,0.71,0.6,0.97,0.65,0.19,0.94,0.62,0.5,0.83
openfrag.csv,0.65,0.24,0.28,0.09,0.94,0.63,0.4,0.72,0.24,0.93,0.6,0.54,0.7
qdvdauthor.csv,0.38,0.28,0.3,0.12,0.77,0.64,0.44,1.0,0.17,0.98,0.58,0.56,0.64
sauerbraten.csv,1.0,0.25,0.24,0.14,0.6,0.58,0.46,0.81,0.21,0.99,0.76,0.6,0.67
zoolib.csv,0.75,0.6,0.29,0.96,0.9,0.5,0.57,1.0,0.0,0.89,0.0,1.0,0.0
