,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.18,0.75,0.72,0.48,0.52,0.49,0.43,0.48,0.53,0.94,0.31,0.69,0.26
ftm.csv,0.87,0.36,0.59,0.39,0.47,0.46,0.55,0.57,0.35,0.66,0.22,0.95,0.62
google-web-toolkit.csv,0.44,0.45,0.62,0.13,0.36,1.0,0.46,0.32,0.06,0.32,0.28,0.59,0.79
gzigzag.csv,0.38,0.34,0.93,0.23,0.21,0.32,0.3,0.4,0.18,0.0,0.13,0.36,0.09
illumination.csv,0.21,0.01,0.21,0.19,0.38,0.3,0.2,0.45,0.88,0.02,0.47,0.31,0.18
jcache.csv,0.56,0.9,0.59,0.32,0.62,0.57,0.59,0.45,0.41,0.92,0.46,0.23,0.97
moast.csv,0.05,0.02,0.17,0.03,0.05,0.08,0.02,0.0,0.0,0.99,0.1,0.02,0.15
nativeclient.csv,0.87,0.89,0.83,0.48,0.73,0.67,0.84,0.62,0.71,0.12,0.96,0.79,0.68
ns-3-dev-def-routing.csv,0.54,0.63,0.14,0.45,0.18,0.22,0.93,0.42,0.29,0.5,0.12,0.56,0.15
openfrag.csv,0.95,0.76,0.66,0.52,0.95,0.84,0.85,0.85,0.65,1.0,0.86,0.85,0.76
qdvdauthor.csv,0.26,0.57,0.34,0.35,0.55,0.54,0.63,1.0,0.47,0.47,0.4,0.46,0.47
sauerbraten.csv,0.97,0.86,0.34,0.23,0.48,0.23,0.46,0.32,0.24,0.89,0.23,0.52,0.24
zoolib.csv,0.31,0.01,0.07,0.71,0.14,0.02,0.15,0.1,0.0,0.07,0.0,0.03,0.0
