,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.13,0.43,0.0,0.13,0.58,0.17,0.35,0.53,1.0,0.84,0.54,0.0,0.57,1.0
jicarilla.csv,0.0,0.5,0.76,0.0,0.19,0.5,0.0,0.0,0.06,0.25,0.0,0.0,0.07,0.26
jmule.csv,0.04,0.43,0.07,0.08,0.55,0.26,0.28,0.36,0.27,0.82,0.23,0.04,0.48,0.84
micomt.csv,0.03,0.37,0.51,0.07,0.47,0.26,0.31,0.31,0.65,0.66,0.22,0.06,0.31,0.46
migen.csv,0.0,0.45,0.26,0.08,0.69,0.28,0.12,0.38,0.38,0.76,0.31,0.04,0.5,1.0
mvnforum.csv,0.0,0.29,0.44,0.01,0.47,0.15,0.45,0.24,0.33,0.67,0.21,0.03,0.3,0.0
ng4j.csv,0.05,0.37,0.22,0.1,0.48,0.22,0.34,0.36,0.28,0.79,0.26,0.04,0.59,0.68
open-data-kit.csv,0.04,0.47,0.14,0.07,0.48,0.27,0.28,0.47,0.21,0.9,0.26,0.05,0.32,0.58
opennms.csv,0.06,0.39,0.27,0.15,0.52,0.46,0.1,0.13,0.04,0.58,0.0,0.05,0.23,0.52
ossim.csv,0.06,0.39,0.42,0.14,0.32,0.3,0.14,0.2,0.05,0.63,0.12,0.02,0.21,0.45
plplot.csv,0.02,0.35,0.41,0.05,0.48,0.15,0.39,0.37,0.33,0.67,0.26,0.04,0.29,0.29
qedo.csv,0.0,0.0,0.53,0.02,0.36,0.19,0.17,0.14,0.06,0.39,0.13,0.22,0.12,0.41
tradelink.csv,0.02,0.37,0.0,0.02,0.46,0.16,0.38,0.36,0.6,0.64,0.32,0.09,0.22,0.29
wgs-assembler.csv,0.07,0.5,0.14,0.08,0.55,0.24,0.38,0.37,0.17,0.8,0.24,0.01,0.31,0.54
