,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.29,0.66,0.11,0.6,0.57,0.07,0.64,0.27,0.43,0.83,0.2,0.66
delphilhlplib.csv,0.76,0.58,0.53,0.57,0.57,0.23,0.71,0.57,0.07,0.51,0.74,0.34
factor.csv,0.0,0.16,0.24,0.0,0.3,0.01,0.44,0.0,0.07,0.2,0.92,0.54
fceugc.csv,0.0,0.46,0.51,0.68,0.57,0.34,0.62,0.74,0.47,0.52,0.64,0.57
fltk.csv,0.57,0.68,0.59,0.59,0.69,0.21,0.39,0.49,0.76,0.57,0.82,0.6
jstock.csv,0.37,0.23,0.23,0.33,0.34,0.42,0.42,0.9,0.48,0.37,0.69,0.45
lportal.csv,0.07,0.07,0.01,0.0,0.16,0.0,0.75,0.0,0.1,0.0,0.02,0.23
natpad.csv,0.55,0.65,0.49,0.63,0.7,0.0,0.59,0.64,0.68,0.66,0.7,0.67
ogre.csv,0.51,0.56,0.47,0.51,0.4,0.95,0.54,0.42,0.47,0.56,0.26,0.55
phet.csv,0.36,0.12,0.64,0.35,0.28,0.76,0.0,0.39,0.0,0.1,0.37,0.3
sandiaportals.csv,0.55,0.65,0.43,0.6,0.62,0.14,0.3,0.18,0.8,0.54,0.83,0.7
sumatrapdf.csv,0.0,0.52,0.46,0.54,0.78,0.0,0.17,0.71,0.75,0.62,0.62,0.68
