,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.94,0.94,0.8,0.89,0.75,0.5,0.95,0.73,0.91,0.96,0.91,0.83,0.84,0.94,0.83,0.93,0.75,0.91
alsa.csv,0.66,0.96,0.47,0.88,0.71,0.57,0.47,0.94,0.9,0.59,0.63,0.9,0.63,0.58,0.62,0.88,0.67,0.87
boost.csv,0.73,0.67,0.64,0.35,0.41,0.42,0.55,0.42,0.42,0.71,0.46,0.38,0.41,0.45,0.47,0.61,0.4,0.44
fmri-dmt.csv,0.95,0.97,0.75,0.67,0.75,0.54,0.93,0.5,0.92,0.82,0.0,0.92,0.35,0.79,0.83,0.92,0.67,0.99
genecys.csv,0.38,0.53,0.4,0.38,0.5,0.46,0.36,0.41,0.43,0.45,0.38,0.39,0.26,0.36,0.31,0.41,0.4,0.37
gusanos.csv,0.52,0.78,0.48,0.55,0.9,0.31,0.57,0.43,0.58,0.56,0.41,0.61,0.3,0.41,0.41,0.48,0.54,0.46
hatari.csv,0.53,0.78,0.56,0.62,0.62,0.6,0.58,0.89,0.95,0.64,0.83,0.54,0.29,0.52,0.36,0.57,0.59,0.61
n2cms.csv,0.61,0.68,0.77,0.88,0.38,0.67,0.58,0.91,0.93,0.95,0.48,0.89,0.49,0.47,0.6,0.93,0.61,0.74
nug.csv,0.66,0.55,0.91,0.78,0.37,0.49,0.51,0.83,0.95,0.7,0.55,0.7,0.29,0.6,0.47,0.64,0.92,0.64
nuttx.csv,0.41,0.61,0.45,0.36,0.52,0.39,0.39,0.36,0.48,0.57,0.45,0.55,0.26,0.33,0.29,0.59,0.48,0.43
proftp.csv,0.66,0.6,0.7,0.47,0.4,0.35,0.48,0.47,0.6,0.6,0.43,0.42,0.97,0.56,0.38,0.56,0.93,0.65
pydev.csv,0.85,0.53,0.57,0.83,0.37,0.41,0.39,0.0,0.94,0.9,0.63,0.57,0.55,0.63,0.75,0.58,0.83,0.74
tcl.csv,0.94,0.86,0.93,0.56,0.53,0.96,0.8,0.68,0.83,0.88,0.74,0.96,0.95,0.95,0.73,0.82,0.67,0.72
truevision.csv,0.45,0.71,0.54,0.59,0.67,0.41,0.63,0.44,0.93,0.49,0.62,0.58,0.3,0.45,0.44,0.52,0.89,0.46
uclmda.csv,0.51,0.66,0.73,0.61,0.95,0.94,0.66,0.7,0.67,0.52,0.44,0.97,0.26,0.95,0.88,0.61,0.95,0.6
uwom.csv,0.63,0.57,0.93,0.88,0.93,0.75,0.75,0.48,0.74,0.99,0.88,0.61,0.38,0.69,0.52,0.62,0.5,0.81
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0
wxstudio.csv,0.53,0.95,0.54,0.46,0.37,0.39,0.54,0.82,0.57,0.97,0.93,0.54,0.3,0.48,0.54,0.57,0.44,0.6
