,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,6.0,0.0,0.0,2.0,3.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,10.0
badtrinity-zero.csv,0.0,6.0,0.0,1.0,0.0,5.0,11.0,0.0,2.0,2.0,0.0,6.0,21.0
betoffice.csv,1.0,8.0,0.0,3.0,0.0,11.0,9.0,0.0,3.0,9.0,0.0,14.0,10.0
exordium.csv,0.0,58.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,21.0
fltk.csv,0.0,1.0,2.0,1.0,2.0,8.0,11.0,0.0,5.0,7.0,0.0,6.0,7.0
gabel.csv,52.0,58.0,0.0,0.0,89.0,4.0,74.0,0.0,6.0,0.0,1.0,0.0,3.0
genoviz.csv,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0
irrlicht.csv,1.0,3.0,2.0,3.0,0.0,2.0,10.0,0.0,8.0,9.0,0.0,13.0,15.0
nug.csv,0.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,5.0,11.0,0.0,8.0,19.0
rezilla.csv,0.0,0.0,0.0,2.0,3.0,2.0,5.0,0.0,6.0,51.0,0.0,6.0,27.0
toped.csv,0.0,0.0,0.0,3.0,0.0,3.0,11.0,0.0,2.0,3.0,0.0,15.0,49.0
xmemcached.csv,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,10.0,0.0,12.0,8.0
zoolib.csv,52.0,58.0,0.0,0.0,5.0,3.0,4.0,0.0,11.0,99.0,0.0,0.0,0.0
