,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.0,3.0,0.0,1.0,3.0,0.0,11.0,1.0,10.0,0.0,1.0,0.0,18.0
autofac.csv,0.0,1.0,0.0,1.0,6.0,0.0,7.0,6.0,67.0,2.0,1.0,1.0,40.0
coot.csv,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,5.0,7.0,0.0,0.0,65.0
dsworkbench.csv,0.0,0.0,1.0,0.0,16.0,0.0,3.0,7.0,67.0,1.0,1.0,0.0,0.0
emono.csv,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,67.0,1.0,1.0,0.0,4.0
exist.csv,0.0,0.0,1.0,0.0,3.0,0.0,0.0,12.0,67.0,6.0,0.0,0.0,16.0
freelords.csv,0.0,3.0,0.0,0.0,4.0,0.0,6.0,17.0,67.0,2.0,2.0,0.0,65.0
google-collections.csv,0.0,3.0,0.0,1.0,1.0,0.0,11.0,5.0,10.0,2.0,1.0,0.0,10.0
jchassis.csv,81.0,65.0,61.0,106.0,57.0,106.0,196.0,57.0,0.0,106.0,76.0,121.0,65.0
jpaul.csv,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,67.0,4.0,5.0,0.0,29.0
neodatis-odb.csv,0.0,0.0,0.0,1.0,7.0,0.0,4.0,1.0,5.0,7.0,0.0,0.0,8.0
octet.csv,0.0,1.0,0.0,1.0,6.0,0.0,11.0,0.0,67.0,2.0,0.0,1.0,8.0
thedata.csv,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,67.0,0.0,76.0,0.0,0.0
