,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.46,0.38,0.21,0.43,0.38,0.29,0.13,0.23,0.12,0.53,0.64,0.2
echongl.csv,0.3,0.57,0.52,0.5,0.79,0.59,0.86,0.12,0.17,0.79,0.1,0.19
hazelcast.csv,0.55,0.97,0.66,0.69,0.66,0.76,0.56,0.3,0.6,0.7,0.29,0.35
japano.csv,0.44,0.56,0.71,0.49,0.86,0.8,0.69,0.21,0.66,0.48,0.15,0.24
jmol.csv,0.43,0.85,0.7,0.66,0.93,0.84,0.81,0.23,0.62,0.77,0.21,0.35
mobicents.csv,0.55,0.67,0.5,0.68,0.61,0.84,0.79,0.28,0.57,0.64,0.25,0.36
nunit.csv,0.44,0.76,0.19,0.58,0.63,0.81,0.55,0.33,0.59,0.38,0.24,0.52
openefm.csv,0.66,0.8,0.71,0.65,0.62,0.72,0.67,0.2,0.64,0.68,0.33,0.27
snakeyaml.csv,0.49,0.74,0.34,0.6,0.59,0.5,0.68,0.48,0.49,0.44,0.27,0.34
trackit.csv,0.28,0.3,0.69,0.2,0.23,0.43,0.11,0.11,0.64,0.07,0.0,0.19
unicase.csv,0.49,0.81,0.67,0.68,0.77,0.83,0.72,0.23,0.63,0.79,0.23,0.41
wheat.csv,0.43,0.7,0.51,0.57,0.62,0.43,0.74,0.25,0.72,0.42,0.26,0.29
