,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.55,0.24,0.12,0.32,0.24,0.18,0.07,0.15,0.07,0.42,1.0,0.18
echongl.csv,0.39,0.45,0.49,0.49,0.69,0.48,0.81,0.19,0.11,0.89,0.25,0.35
hazelcast.csv,0.85,0.95,0.66,0.87,0.51,0.69,0.45,0.93,0.68,0.64,0.88,0.72
japano.csv,0.7,0.42,0.8,0.52,0.76,0.8,0.71,0.81,0.89,0.4,0.5,0.38
jmol.csv,0.79,0.85,0.78,0.93,0.94,0.78,0.94,1.0,0.64,0.82,0.88,0.98
mobicents.csv,0.7,0.51,0.41,0.67,0.46,0.87,0.91,0.44,0.54,0.53,0.88,0.55
nunit.csv,0.52,0.64,0.12,0.6,0.48,0.79,0.41,0.44,0.68,0.25,0.75,0.68
openefm.csv,0.7,0.78,0.85,0.86,0.46,0.66,0.66,0.48,0.68,0.64,0.5,0.42
snakeyaml.csv,0.58,0.58,0.24,0.56,0.42,0.35,0.58,0.7,0.43,0.3,0.62,0.32
trackit.csv,0.27,0.18,0.66,0.13,0.13,0.3,0.06,0.07,0.79,0.04,0.0,0.25
unicase.csv,0.79,0.75,0.76,0.84,0.67,0.82,0.63,1.0,0.68,0.75,0.88,0.8
wheat.csv,0.58,0.6,0.39,0.61,0.47,0.28,0.79,0.93,0.68,0.29,0.62,0.6
