,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.17,0.69,1.01,0.59,0.55,0.97,0.7,0.63,0.77,0.56,0.64,0.99,0.61,1.0
jicarilla.csv,1.0,0.97,0.23,1.0,0.97,0.96,1.01,1.0,1.04,0.98,1.0,1.0,0.97,1.04
jmule.csv,0.63,0.58,1.03,0.57,0.55,0.78,0.76,0.58,0.66,0.37,0.63,0.93,0.37,0.19
micomt.csv,0.82,0.76,0.77,0.73,0.73,0.76,0.86,0.76,0.33,0.6,0.66,0.87,0.64,0.84
migen.csv,0.54,0.85,0.89,0.5,0.37,0.71,0.95,0.86,0.51,0.59,0.63,0.98,0.62,0.88
mvnforum.csv,1.16,0.81,0.86,1.01,0.76,0.91,0.51,0.83,0.6,0.68,0.75,0.97,0.73,1.0
ng4j.csv,0.37,0.63,1.01,0.53,0.62,0.74,0.72,0.39,0.5,0.49,0.66,1.09,0.35,0.58
open-data-kit.csv,0.6,0.62,0.93,0.78,0.75,0.86,0.8,0.67,0.92,0.24,0.65,0.81,0.73,0.64
opennms.csv,0.54,0.62,0.96,0.53,0.72,0.46,0.98,0.87,1.06,0.8,1.02,0.88,0.76,0.73
ossim.csv,0.59,0.68,0.77,0.34,0.82,0.64,0.9,0.87,1.19,0.72,0.87,0.99,0.78,1.0
plplot.csv,0.68,0.97,1.02,0.75,0.52,0.79,0.66,0.38,0.71,0.54,0.78,1.0,0.61,0.53
qedo.csv,1.03,1.0,0.72,0.93,0.82,0.79,0.95,0.91,1.07,0.95,1.02,0.3,1.01,0.84
tradelink.csv,0.75,0.72,0.97,0.96,0.6,0.94,0.68,0.54,0.54,0.72,0.43,0.94,0.8,0.88
wgs-assembler.csv,0.58,0.55,0.99,0.56,0.51,0.75,0.72,0.86,0.94,0.45,0.52,1.02,0.47,0.61
