,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,1.0,0.79,0.0,0.44,0.53,0.04,0.39,0.38,0.23,0.46,0.37,0.05,0.4,0.0
jicarilla.csv,0.0,0.03,0.91,0.0,0.12,0.04,0.0,0.0,0.08,0.04,0.0,0.0,0.05,0.29
jmule.csv,1.0,0.79,0.03,0.88,0.71,0.68,0.67,0.57,1.0,0.82,0.79,0.23,0.75,0.88
micomt.csv,1.0,0.36,0.85,0.81,0.5,0.75,0.83,0.95,0.69,0.75,0.68,0.5,0.8,0.58
migen.csv,0.5,0.15,0.18,0.56,0.74,0.39,0.06,0.14,0.62,0.5,0.42,0.23,0.4,0.12
mvnforum.csv,0.0,0.28,0.15,0.06,0.29,0.11,0.56,0.62,0.46,0.57,0.32,0.09,0.35,0.0
ng4j.csv,1.0,0.62,0.03,0.88,0.62,0.57,0.83,0.71,0.54,0.55,0.63,0.18,0.8,0.42
open-data-kit.csv,0.5,0.72,0.42,0.88,0.79,0.75,0.89,0.38,1.0,0.82,0.95,0.82,0.95,0.83
opennms.csv,0.5,0.64,0.06,0.5,0.38,0.61,0.06,0.14,0.15,0.32,0.0,0.18,0.35,0.96
ossim.csv,0.5,0.62,0.3,0.81,0.47,0.57,0.17,0.24,0.08,0.37,0.21,0.09,0.35,0.96
plplot.csv,1.0,0.92,0.0,0.31,0.62,0.25,0.5,0.67,0.31,0.49,0.26,0.05,0.4,0.54
qedo.csv,0.0,0.03,0.33,0.12,0.32,0.25,0.06,0.24,0.15,0.07,0.0,0.82,0.0,0.25
tradelink.csv,0.5,0.38,0.09,0.06,0.65,0.14,0.67,0.57,0.46,0.67,0.79,0.09,0.7,0.42
wgs-assembler.csv,0.5,0.56,0.03,0.69,0.71,0.32,0.39,0.14,0.85,0.78,0.53,0.09,0.8,0.42
