,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.41,0.54,0.25,0.88,0.98,0.6,0.98,0.24,0.98,0.97,0.65
codesmith.csv,0.12,0.33,1.0,0.18,0.54,0.73,0.53,0.65,0.63,0.44,0.26
javaprofiler.csv,0.85,0.93,0.96,0.86,0.98,0.93,0.63,0.62,0.86,0.25,0.38
jpaul.csv,0.27,0.27,0.0,0.19,0.03,0.13,0.0,0.03,0.0,0.11,0.15
jrdf.csv,0.22,0.13,0.0,0.26,0.19,0.07,0.9,0.35,0.16,0.53,0.62
mecat.csv,0.02,0.07,0.0,0.14,0.15,0.0,0.13,0.02,0.12,0.03,0.0
neodatis-odb.csv,0.76,0.27,0.75,0.89,0.12,0.6,0.32,0.29,0.86,0.28,0.24
synecdoche.csv,0.34,0.57,0.29,0.6,0.12,0.13,0.83,0.42,0.23,0.33,0.71
tycho.csv,0.29,0.6,0.21,0.75,0.15,0.47,0.2,0.05,0.16,0.28,0.09
unicase.csv,0.54,0.84,0.61,0.41,0.85,0.73,0.87,0.77,0.81,0.97,0.59
xcmetadataservicestoolkit.csv,0.73,0.51,0.0,0.78,0.29,0.33,1.0,0.45,0.51,0.83,0.53
