,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.69,0.25,0.92,0.67,0.54,0.41,0.58,0.9,0.29,0.38,0.8,0.73,0.13,0.65,1.0
biodwh.csv,0.7,0.16,0.83,0.62,0.4,0.33,0.44,1.0,1.0,0.44,0.91,1.0,0.42,0.83,1.0
brlcad.csv,0.62,0.37,0.92,0.73,0.67,0.3,1.0,0.89,0.26,0.0,0.5,0.71,0.21,0.0,1.0
delphilhlplib.csv,0.65,0.44,0.9,0.8,0.37,0.26,0.83,0.91,0.26,0.79,0.75,0.93,0.16,0.83,0.95
exordium.csv,0.69,0.48,0.78,0.89,0.56,0.32,0.6,1.0,0.38,0.7,0.73,0.88,0.19,0.79,0.93
fltk.csv,0.69,0.28,0.77,0.77,0.42,0.25,0.59,0.92,0.18,0.47,0.8,0.9,0.21,0.39,0.82
gzigzag.csv,0.72,0.0,0.9,0.9,0.54,0.38,0.67,0.81,0.19,0.67,0.77,0.64,0.16,0.78,0.91
jcache.csv,0.57,0.3,0.79,0.64,0.29,0.24,0.41,0.97,0.24,0.59,0.71,0.86,0.19,0.84,0.8
mimosa.csv,0.61,0.28,0.8,0.71,0.24,0.25,0.32,0.98,0.2,0.77,0.65,0.93,0.14,0.72,0.64
moast.csv,0.5,0.25,0.59,0.51,0.22,0.24,0.24,0.98,0.13,0.48,0.67,1.0,0.14,0.4,0.69
mptvseries.csv,0.7,0.29,0.0,0.78,0.43,0.45,0.65,0.92,0.17,0.51,0.83,0.0,0.27,0.88,0.93
ogre.csv,0.5,0.24,0.72,0.61,0.16,0.25,0.24,1.0,0.15,0.71,0.68,0.88,0.17,0.36,0.71
qdvdauthor.csv,0.92,0.24,0.64,0.53,0.27,0.26,0.5,0.96,0.12,0.52,0.78,1.0,0.14,0.39,0.86
sauerbraten.csv,0.76,0.21,0.63,0.58,0.27,0.24,0.41,0.99,0.14,0.63,0.67,0.99,0.15,0.41,0.7
zxing.csv,0.69,0.08,0.61,0.64,0.45,0.31,0.6,0.94,0.17,0.45,0.78,0.48,0.25,0.7,0.91
