,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.6,0.63,0.66,0.33,0.1,0.72,0.84,0.52,0.59,0.61,0.9,0.56,0.5,0.25,0.35,0.15,0.02,0.07
bacula.csv,0.74,0.6,0.73,0.48,0.28,0.65,0.92,0.29,0.5,0.43,0.94,0.55,0.57,0.33,0.39,0.14,0.04,0.1
blue-c.csv,0.71,0.61,0.73,0.72,0.25,0.62,0.86,0.34,0.51,0.45,0.89,0.55,0.6,0.32,0.39,0.17,0.04,0.16
enlightenment.csv,0.74,0.57,0.61,0.39,0.24,0.72,0.55,0.32,0.58,0.39,0.87,0.54,0.6,0.4,0.39,0.13,0.04,0.1
fltk.csv,0.77,0.77,0.76,0.41,0.24,0.64,0.9,0.39,0.7,0.6,0.95,0.55,0.56,0.41,0.4,0.16,0.04,0.17
freewrl.csv,0.67,0.59,0.61,0.65,0.29,0.58,0.56,0.32,0.48,0.42,0.88,0.69,0.68,0.28,0.42,0.12,0.05,0.14
genecys.csv,0.68,0.55,0.6,0.44,0.31,0.58,0.73,0.33,0.48,0.42,0.94,0.59,0.57,0.29,0.41,0.11,0.05,0.13
genoviz.csv,0.85,0.88,0.94,1.0,0.36,0.76,1.0,0.31,0.8,0.73,0.94,1.0,0.75,0.46,1.0,0.25,0.05,0.71
gzigzag.csv,0.74,0.7,0.83,0.76,0.35,0.87,0.94,0.54,0.64,0.58,0.92,0.62,0.79,0.47,0.48,0.17,0.09,0.12
jparsec.csv,0.68,0.66,0.7,0.59,0.28,0.58,0.57,0.36,0.52,0.43,0.93,0.71,0.67,0.28,0.6,0.29,0.07,0.11
lportal.csv,0.97,0.69,1.0,1.0,0.75,0.83,0.0,0.5,0.79,0.84,0.0,0.0,0.76,0.5,0.5,0.25,0.15,0.25
ogrehg.csv,0.79,0.71,0.76,0.62,0.29,0.82,0.94,0.57,0.62,0.61,0.95,0.61,0.65,0.47,0.37,0.15,0.05,0.14
patterntesting.csv,0.7,0.59,0.63,0.67,0.24,0.59,0.67,0.32,0.49,0.43,0.88,0.54,0.6,0.3,0.39,0.12,0.05,0.11
pfaedit.csv,1.0,0.69,0.83,0.48,0.24,0.81,0.74,0.43,0.75,0.6,0.94,0.51,0.56,0.64,0.38,0.16,0.04,0.16
pgui.csv,0.76,1.0,0.0,0.39,0.26,0.0,0.56,0.32,0.0,0.0,0.87,0.53,0.68,0.49,0.41,0.13,0.0,0.1
roller.csv,0.66,0.57,0.58,0.71,0.24,0.59,0.6,0.32,0.47,0.37,0.86,0.54,0.84,0.3,0.5,0.19,0.07,0.12
sylpheed-claws.csv,0.7,0.6,0.61,0.62,0.29,0.61,0.55,0.32,0.68,0.4,0.87,0.72,0.64,0.33,0.4,0.09,0.06,0.11
xbg.csv,0.58,0.52,0.75,0.4,0.25,0.57,0.67,0.16,0.35,0.43,0.9,0.0,0.52,0.27,0.67,0.37,0.02,0.11
