,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.04,0.43,0.29,0.51,0.2,0.25,0.12,0.26,0.17,0.18,0.67,0.75,0.71,0.02,0.86,0.85,0.77,0.29
bacula.csv,0.47,0.67,0.34,0.32,0.47,0.49,0.04,0.42,0.54,0.63,0.33,0.42,0.94,0.64,1.0,0.67,0.95,0.8
blue-c.csv,0.59,0.78,0.31,0.15,0.62,0.75,0.16,0.72,0.74,0.6,0.78,0.54,0.9,0.7,1.0,0.64,0.94,0.58
enlightenment.csv,0.45,1.0,1.0,1.0,0.99,0.34,1.0,1.0,0.58,1.0,1.0,0.96,1.0,0.43,1.0,1.0,1.0,0.98
fltk.csv,0.35,0.26,0.29,0.62,0.63,0.45,0.08,0.44,0.17,0.27,0.33,0.79,0.92,0.4,0.94,0.67,0.88,0.53
freewrl.csv,1.0,0.74,0.97,0.17,0.66,0.95,0.96,1.0,0.99,0.72,0.89,0.38,0.59,0.99,0.68,0.89,0.63,0.67
genecys.csv,0.94,0.77,0.6,0.11,0.49,0.64,0.16,0.85,0.98,0.65,0.33,0.38,0.92,0.92,0.81,0.89,0.71,0.6
genoviz.csv,0.12,0.02,0.03,0.0,0.27,0.02,0.0,0.11,0.02,0.03,0.11,0.0,0.12,0.16,0.0,0.16,0.19,0.04
gzigzag.csv,0.31,0.19,0.23,0.09,0.34,0.04,0.04,0.2,0.26,0.18,0.33,0.54,0.22,0.22,0.38,0.44,0.22,0.67
jparsec.csv,0.94,0.53,0.6,0.32,0.63,1.0,0.92,0.59,0.82,0.7,0.33,0.08,0.65,1.0,0.3,0.27,0.48,0.93
lportal.csv,0.02,0.04,0.0,0.0,0.02,0.08,0.0,0.01,0.06,0.01,0.0,0.0,0.24,0.16,0.01,0.05,0.18,0.07
ogrehg.csv,0.31,0.41,0.37,0.21,0.57,0.1,0.04,0.11,0.26,0.28,0.33,0.58,0.67,0.25,0.93,0.62,0.63,0.71
patterntesting.csv,0.78,0.81,0.89,0.21,0.9,0.94,0.6,0.98,0.94,0.77,0.89,0.92,0.98,0.85,1.0,0.96,0.86,0.91
pfaedit.csv,0.0,0.26,0.26,0.49,0.52,0.12,0.32,0.36,0.06,0.22,0.33,1.0,0.53,0.03,0.84,0.78,0.51,0.58
pgui.csv,0.29,0.0,0.0,1.0,0.84,0.0,0.96,0.71,0.0,0.0,1.0,1.0,0.45,0.3,0.91,0.98,0.0,0.98
roller.csv,0.92,0.94,0.63,0.13,0.68,0.95,0.76,0.99,0.99,0.87,1.0,0.25,0.22,0.88,0.22,0.31,0.55,0.8
sylpheed-claws.csv,0.63,0.73,0.97,0.28,0.7,0.76,1.0,1.0,0.3,0.92,1.0,0.33,0.71,0.59,0.54,0.75,0.65,0.93
xbg.csv,0.43,0.14,0.09,0.62,0.26,0.38,0.2,0.2,0.5,0.19,0.33,0.08,0.24,0.35,0.01,0.22,0.17,0.18
