,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.06,0.6,0.46,0.36,0.08,0.57,0.65,0.57,0.36,0.5,0.87,0.68,0.49,0.04,0.47,0.25,0.04,0.11
bacula.csv,0.71,0.67,0.65,0.47,0.38,0.65,0.56,0.33,0.54,0.55,0.84,0.49,0.68,0.47,0.57,0.24,0.08,0.18
blue-c.csv,0.71,0.74,0.63,0.65,0.36,0.72,0.85,0.48,0.63,0.58,0.88,0.57,0.73,0.47,0.57,0.28,0.08,0.28
enlightenment.csv,0.68,0.73,0.76,0.56,0.39,0.68,0.71,0.48,0.69,0.56,0.93,0.7,0.75,0.52,0.57,0.23,0.08,0.19
fltk.csv,0.66,0.72,0.67,0.51,0.36,0.61,0.72,0.47,0.53,0.61,0.91,0.67,0.65,0.52,0.56,0.27,0.08,0.29
freewrl.csv,0.8,0.69,0.76,0.57,0.43,0.73,0.71,0.48,0.65,0.56,0.93,0.71,0.76,0.44,0.54,0.22,0.1,0.25
genecys.csv,0.8,0.63,0.6,0.21,0.44,0.61,0.49,0.49,0.65,0.53,0.86,0.53,0.68,0.44,0.56,0.19,0.09,0.22
genoviz.csv,0.5,0.19,0.45,0.06,0.41,0.1,0.12,0.16,0.19,0.24,0.41,0.07,0.36,0.4,0.04,0.3,0.09,0.83
gzigzag.csv,0.54,0.44,0.76,0.55,0.44,0.32,0.65,0.53,0.56,0.46,0.73,0.69,0.65,0.49,0.51,0.27,0.15,0.21
jparsec.csv,0.81,0.71,0.78,0.66,0.41,0.73,0.72,0.49,0.67,0.57,0.76,0.29,0.76,0.44,0.65,0.41,0.14,0.19
lportal.csv,0.55,0.12,0.07,0.06,0.32,0.4,0.0,0.05,0.36,0.21,0.0,0.0,0.6,0.45,0.04,0.17,0.25,0.22
ogrehg.csv,0.65,0.73,0.76,0.57,0.42,0.47,0.71,0.41,0.53,0.65,0.93,0.7,0.74,0.53,0.51,0.25,0.1,0.24
patterntesting.csv,0.78,0.7,0.76,0.67,0.37,0.73,0.8,0.48,0.65,0.58,0.93,0.69,0.74,0.45,0.57,0.21,0.09,0.2
pfaedit.csv,0.15,0.54,0.81,0.57,0.33,0.52,0.75,0.5,0.3,0.56,0.86,0.66,0.5,0.24,0.51,0.27,0.08,0.28
pgui.csv,0.57,0.03,0.0,0.56,0.4,0.0,0.71,0.45,0.0,0.0,0.93,0.69,0.67,0.58,0.58,0.23,0.0,0.19
roller.csv,0.76,0.71,0.58,0.59,0.36,0.74,0.73,0.48,0.64,0.51,0.89,0.35,0.79,0.45,0.4,0.28,0.12,0.22
sylpheed-claws.csv,0.71,0.69,0.76,0.66,0.43,0.71,0.71,0.48,0.68,0.56,0.93,0.75,0.73,0.46,0.47,0.15,0.11,0.19
xbg.csv,0.39,0.18,0.27,0.49,0.26,0.43,0.44,0.11,0.32,0.3,0.57,0.0,0.26,0.3,0.08,0.52,0.04,0.14
