,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.63,0.62,0.57,0.61,0.67,0.62,0.61,0.0,0.57,0.58,0.66,0.81,0.6,0.6,0.58,0.66
arcallians.csv,0.59,0.67,0.7,0.66,0.82,0.73,0.0,0.13,0.6,0.4,0.28,0.0,0.71,0.53,0.35,0.65
arianne.csv,0.71,0.3,0.0,0.0,0.42,0.0,0.72,0.2,0.61,0.0,0.0,0.0,0.63,0.21,0.61,0.5
aztec.csv,0.33,0.61,0.3,0.64,0.47,0.66,0.76,0.46,0.46,0.68,0.55,0.69,0.1,0.32,0.29,0.57
biopax.csv,0.09,0.53,0.0,0.41,0.17,0.21,0.17,0.0,0.0,0.3,0.58,0.0,0.39,0.21,0.83,0.13
bl-toolkit.csv,0.56,0.22,0.79,0.0,0.36,0.0,0.13,0.71,0.6,0.0,0.0,0.0,0.0,0.0,0.35,0.0
gnupdate.csv,0.57,0.51,0.17,0.59,0.69,0.56,0.17,0.29,0.59,0.85,0.53,0.0,0.31,0.58,0.48,0.64
les-indemodables.csv,0.56,0.54,0.42,0.7,0.53,0.56,0.59,0.35,0.4,0.54,0.5,0.64,0.65,0.67,0.7,0.47
ng4j.csv,0.39,0.58,0.57,0.67,0.85,0.61,0.05,0.41,0.67,0.79,0.48,0.6,0.36,0.5,0.51,0.78
openxava.csv,0.44,0.52,0.17,0.55,0.05,0.11,0.39,0.77,0.37,0.23,0.58,0.91,0.67,0.54,0.13,0.39
phonon-vlc-mplayer.csv,0.45,0.64,0.63,0.67,0.78,0.74,0.38,0.31,0.67,0.76,0.47,0.67,0.4,0.58,0.57,0.61
qgis.csv,0.45,0.67,0.25,0.0,0.77,0.43,0.2,0.33,0.68,0.0,0.0,0.69,0.7,0.7,0.74,0.57
rsyslog.csv,0.61,0.68,0.23,0.79,0.6,0.66,0.38,0.17,0.48,0.54,0.51,0.05,0.64,0.34,0.29,0.44
vars-redux.csv,0.63,0.61,0.58,0.67,0.53,0.34,0.4,0.72,0.69,0.45,0.6,0.65,0.61,0.63,0.44,0.63
xapian.csv,0.67,0.61,0.52,0.54,0.75,0.63,0.38,0.27,0.5,0.56,0.36,0.05,0.74,0.4,0.73,0.51
xqilla.csv,0.42,0.2,0.1,0.05,0.07,0.36,0.34,0.07,0.39,0.12,0.44,0.99,0.3,0.04,0.15,0.23
