,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.91,0.95,0.0,0.57,0.89,0.88,0.95,0.6,0.92,0.96,0.9,0.83,0.94,0.89,0.75,0.8,0.83,0.99
alsa.csv,0.48,0.66,0.58,0.43,0.8,0.37,0.47,0.68,0.69,0.5,0.63,0.56,0.27,0.4,0.43,0.56,0.64,0.52
boost.csv,0.57,0.71,0.51,0.48,0.67,0.46,0.58,0.53,0.59,0.69,0.62,0.45,0.89,0.55,0.52,0.71,0.61,0.56
fmri-dmt.csv,0.8,0.0,0.5,0.0,0.0,0.62,0.5,0.0,0.0,0.89,0.67,0.83,0.0,0.69,0.83,0.0,0.67,0.99
genecys.csv,0.4,0.53,0.5,0.4,0.48,0.44,0.4,0.35,0.37,0.43,0.41,0.52,0.26,0.36,0.32,0.49,0.45,0.4
gusanos.csv,0.4,0.56,0.45,0.43,0.37,0.38,0.39,0.37,0.41,0.5,0.42,0.4,0.34,0.35,0.33,0.49,0.51,0.42
hatari.csv,0.48,0.67,0.61,0.71,0.34,0.66,0.57,0.86,0.74,0.7,0.56,0.59,0.41,0.48,0.4,0.69,0.49,0.66
n2cms.csv,0.63,0.65,0.38,0.44,0.36,0.33,0.41,0.55,0.41,0.97,0.42,0.33,0.58,0.47,0.5,0.41,0.39,0.62
nug.csv,0.64,0.53,0.92,0.81,0.37,0.92,0.38,0.82,0.96,0.79,0.88,0.97,0.0,0.5,0.59,0.76,0.93,0.64
nuttx.csv,0.41,0.6,0.4,0.34,0.64,0.47,0.39,0.32,0.49,0.52,0.46,0.45,0.26,0.36,0.36,0.45,0.58,0.43
proftp.csv,0.78,0.64,0.57,0.38,0.33,0.5,0.61,0.43,0.43,0.65,0.44,0.56,0.89,0.55,0.55,0.6,0.47,0.74
pydev.csv,0.85,0.56,0.86,0.43,0.47,0.32,0.45,0.41,0.46,0.81,0.93,0.39,0.47,0.63,0.76,0.4,0.44,0.68
tcl.csv,0.94,0.89,0.8,0.57,0.55,0.67,0.83,0.61,0.7,0.97,0.66,0.94,0.94,0.79,0.93,0.65,0.65,0.83
truevision.csv,0.4,0.74,0.62,0.56,0.56,0.44,0.45,0.62,0.91,0.49,0.68,0.6,0.8,0.47,0.35,0.66,0.76,0.51
uclmda.csv,0.93,0.91,0.88,0.77,0.5,0.8,0.58,0.67,0.95,0.99,0.54,0.95,0.26,0.96,0.92,0.75,0.5,0.99
uwom.csv,0.58,0.63,0.78,0.44,0.9,0.54,0.43,0.44,0.93,0.91,0.73,0.59,0.27,0.52,0.51,0.75,0.4,0.79
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.88,0.0
wxstudio.csv,0.92,0.88,0.8,0.5,0.4,0.52,0.77,0.88,0.51,0.75,0.65,0.7,0.27,0.46,0.72,0.57,0.47,0.56
