,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.17,0.09,0.03,0.35,0.13,0.13,0.1,0.4,1.0,0.13,0.13,0.08,0.09,0.17,0.0,0.05,0.0,0.24
alsa.csv,0.69,0.58,0.62,0.53,0.03,0.66,0.99,0.27,0.33,0.59,0.34,0.61,0.88,0.78,0.83,0.43,0.0,0.64
boost.csv,0.44,0.47,0.62,0.65,0.51,0.74,0.42,0.5,0.58,0.98,0.48,0.68,0.02,0.5,0.33,0.43,0.5,0.69
fmri-dmt.csv,0.08,0.0,0.03,0.0,0.0,0.23,0.01,0.03,0.0,0.04,0.03,0.11,0.0,0.36,1.0,0.03,0.0,0.19
genecys.csv,0.85,0.99,0.59,1.0,0.62,0.98,0.82,0.97,0.92,0.97,0.97,0.74,1.0,0.92,1.0,0.7,0.5,0.94
gusanos.csv,0.56,0.54,0.55,0.53,0.74,0.81,0.9,0.77,0.67,0.57,1.0,0.89,0.72,0.75,0.67,0.7,0.25,0.82
hatari.csv,0.67,0.57,0.97,0.35,0.77,0.47,0.56,0.23,0.5,0.5,0.42,0.61,0.59,0.64,0.67,0.43,0.62,0.43
n2cms.csv,0.96,0.47,0.72,0.47,0.97,0.5,0.75,0.5,0.58,0.11,0.58,0.68,0.29,0.69,0.67,0.51,1.0,0.5
nug.csv,0.5,1.0,0.21,0.94,1.0,0.19,1.0,0.27,0.17,0.32,0.28,0.08,0.0,0.72,0.5,0.43,0.38,0.59
nuttx.csv,0.62,1.0,0.72,0.47,0.36,0.85,0.74,0.9,0.92,0.89,0.73,0.82,0.95,0.67,0.5,0.54,0.38,0.64
proftp.csv,0.25,0.19,0.31,0.29,0.62,0.29,0.28,0.97,0.5,0.21,0.51,0.45,0.04,0.39,0.33,0.22,0.88,0.29
pydev.csv,0.35,0.78,0.17,0.65,0.77,0.45,0.79,0.53,0.58,0.5,0.1,0.68,0.4,0.97,0.33,0.57,0.75,0.49
tcl.csv,0.06,0.04,0.07,0.53,0.95,0.37,0.3,0.43,0.5,0.13,0.34,0.18,0.09,0.22,0.0,0.57,0.5,0.26
truevision.csv,0.92,0.62,0.45,0.82,0.54,0.71,0.64,0.53,0.5,0.91,0.34,0.92,0.01,0.69,0.83,0.35,0.0,0.8
uclmda.csv,0.06,0.54,0.07,0.12,0.03,0.08,0.42,0.27,0.17,0.19,0.6,0.05,1.0,0.08,0.33,0.43,0.0,0.08
uwom.csv,0.42,0.81,0.41,0.82,0.13,0.56,0.76,0.8,0.25,0.3,0.42,0.53,0.98,0.53,0.83,0.16,1.0,0.94
wxjs.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0
wxstudio.csv,0.23,0.28,0.31,0.41,0.59,0.42,0.37,0.17,0.5,0.28,0.39,0.32,0.88,0.58,0.17,0.95,0.5,0.46
