,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.27,0.16,0.07,0.39,0.21,0.23,0.19,0.53,0.96,0.23,0.23,0.14,0.16,0.27,0.0,0.1,0.0,0.32
alsa.csv,0.55,0.67,0.65,0.4,0.05,0.76,0.99,0.33,0.15,0.49,0.49,0.62,0.93,0.52,0.29,0.44,0.0,0.48
boost.csv,0.46,0.6,0.53,0.48,0.53,0.81,0.51,0.48,0.15,0.99,0.56,0.45,0.03,0.43,0.12,0.39,0.15,0.37
fmri-dmt.csv,0.15,0.0,0.06,0.0,0.0,0.36,0.02,0.06,0.0,0.08,0.06,0.18,0.0,0.36,1.0,0.05,0.0,0.28
genecys.csv,0.53,0.9,0.48,0.51,0.55,0.99,0.71,0.67,0.15,0.56,0.81,0.5,0.98,0.49,0.17,0.5,0.09,0.39
gusanos.csv,0.49,0.63,0.53,0.4,0.57,0.85,0.74,0.68,0.17,0.49,1.0,0.53,0.83,0.52,0.17,0.59,0.09,0.4
hatari.csv,0.56,0.67,0.98,0.35,0.6,0.6,0.62,0.32,0.21,0.49,0.54,0.46,0.74,0.5,0.17,0.48,0.16,0.31
n2cms.csv,0.98,0.6,0.61,0.38,0.66,0.63,0.69,0.6,0.17,0.18,0.67,0.5,0.45,0.62,0.25,0.55,0.25,0.47
nug.csv,0.46,0.9,0.29,0.97,0.66,0.32,0.77,0.34,0.11,0.4,0.38,0.09,0.0,0.5,0.18,0.39,0.26,0.4
nuttx.csv,0.5,0.99,0.59,0.33,0.44,0.87,0.68,0.65,0.16,0.54,0.72,0.54,0.96,0.44,0.11,0.53,0.12,0.33
proftp.csv,0.34,0.31,0.42,0.24,0.57,0.44,0.4,0.97,0.18,0.26,0.61,0.46,0.08,0.42,0.14,0.31,0.33,0.32
pydev.csv,0.46,0.79,0.28,0.49,0.65,0.6,0.72,0.54,0.12,0.54,0.17,0.43,0.57,0.99,0.17,0.55,0.24,0.46
tcl.csv,0.09,0.08,0.12,0.45,0.96,0.53,0.42,0.43,0.16,0.21,0.48,0.25,0.17,0.23,0.0,0.57,0.14,0.23
truevision.csv,0.55,0.72,0.49,0.64,0.54,0.8,0.62,0.52,0.26,0.54,0.48,0.96,0.02,0.52,0.16,0.33,0.0,0.47
uclmda.csv,0.1,0.67,0.11,0.13,0.05,0.15,0.48,0.33,0.12,0.25,0.65,0.07,1.0,0.1,0.21,0.44,0.0,0.08
uwom.csv,0.4,0.82,0.46,0.5,0.2,0.71,0.69,0.55,0.1,0.37,0.52,0.48,0.98,0.38,0.23,0.16,0.16,0.94
wxjs.csv,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0
wxstudio.csv,0.31,0.43,0.41,0.36,0.53,0.56,0.48,0.22,0.15,0.27,0.53,0.34,0.93,0.4,0.08,0.97,0.11,0.25
