,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.2,0.11,0.04,0.39,0.16,0.16,0.12,0.45,1.0,0.16,0.16,0.1,0.11,0.2,0.0,0.06,0.0,0.28
alsa.csv,0.64,0.52,0.65,0.52,0.04,0.6,0.99,0.31,0.37,0.57,0.39,0.64,0.76,0.63,0.78,0.45,0.0,0.65
boost.csv,0.47,0.47,0.57,0.61,0.53,0.59,0.45,0.51,0.55,0.98,0.47,0.53,0.0,0.51,0.36,0.43,0.51,0.62
fmri-dmt.csv,0.1,0.0,0.04,0.0,0.0,0.27,0.01,0.04,0.0,0.05,0.04,0.13,0.0,0.4,1.0,0.04,0.0,0.23
genecys.csv,0.32,0.0,0.5,0.3,0.56,0.98,0.51,0.6,0.45,0.35,0.13,0.6,0.0,0.24,0.3,0.39,0.29,0.53
gusanos.csv,0.55,0.43,0.56,0.52,0.46,0.63,0.37,0.73,0.62,0.56,1.0,0.53,0.58,0.64,0.59,0.64,0.28,0.66
hatari.csv,0.64,0.54,0.98,0.39,0.51,0.43,0.56,0.27,0.53,0.53,0.46,0.57,0.63,0.61,0.59,0.47,0.57,0.46
n2cms.csv,0.97,0.48,0.65,0.48,0.21,0.49,0.56,0.55,0.58,0.13,0.59,0.61,0.33,0.69,0.67,0.54,0.82,0.54
nug.csv,0.51,0.0,0.25,0.95,0.0,0.23,0.0,0.31,0.2,0.37,0.31,0.1,0.0,0.62,0.52,0.43,0.43,0.6
nuttx.csv,0.57,0.98,0.63,0.43,0.4,0.54,0.54,0.64,0.49,0.48,0.57,0.65,0.5,0.52,0.44,0.56,0.41,0.56
proftp.csv,0.29,0.22,0.36,0.31,0.59,0.33,0.32,0.97,0.52,0.25,0.53,0.49,0.05,0.43,0.37,0.26,0.84,0.33
pydev.csv,0.4,0.33,0.2,0.62,0.66,0.48,0.61,0.55,0.5,0.54,0.12,0.47,0.38,0.98,0.37,0.58,0.71,0.53
tcl.csv,0.07,0.05,0.09,0.54,0.96,0.42,0.34,0.44,0.52,0.16,0.38,0.21,0.11,0.25,0.0,0.59,0.5,0.3
truevision.csv,0.32,0.6,0.48,0.78,0.54,0.67,0.5,0.54,0.54,0.45,0.39,0.93,0.01,0.64,0.45,0.36,0.0,0.73
uclmda.csv,0.07,0.56,0.09,0.14,0.04,0.1,0.43,0.31,0.2,0.22,0.55,0.06,1.0,0.1,0.37,0.45,0.0,0.1
uwom.csv,0.44,0.54,0.45,0.62,0.16,0.59,0.53,0.35,0.29,0.34,0.44,0.55,0.5,0.48,0.72,0.18,0.3,0.95
wxjs.csv,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.0
wxstudio.csv,0.27,0.32,0.35,0.44,0.53,0.42,0.41,0.2,0.51,0.31,0.44,0.36,0.76,0.5,0.2,0.96,0.44,0.44
