,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.04,0.1,0.0,0.22,0.1,0.0,0.03,0.08,0.01,0.03,0.03,0.04,0.33,0.04,0.06,0.06,0.07,0.07
alsa.csv,0.51,0.64,0.22,0.53,0.1,0.56,0.02,0.3,0.27,0.48,0.14,0.18,0.5,0.64,0.37,0.41,0.31,0.29
boost.csv,0.31,0.54,0.58,0.5,0.4,0.67,0.36,0.46,0.54,0.0,0.55,0.72,1.0,0.42,0.4,0.59,0.44,0.57
fmri-dmt.csv,0.01,0.03,0.03,0.0,0.0,0.22,0.0,0.0,0.0,0.01,0.03,0.03,0.0,0.33,0.0,0.0,0.03,0.06
genecys.csv,0.91,1.0,0.69,0.92,0.6,0.0,0.8,0.76,0.85,0.9,0.97,0.66,1.0,0.94,0.92,0.86,0.89,0.81
gusanos.csv,0.49,0.77,0.42,0.53,0.82,0.67,0.89,0.41,0.52,0.46,0.0,0.8,0.67,0.59,0.61,0.51,0.37,0.63
hatari.csv,0.46,0.54,0.0,0.31,0.78,0.67,0.42,0.19,0.28,0.32,0.28,0.54,0.17,0.48,0.61,0.27,0.56,0.38
n2cms.csv,0.0,0.49,0.53,0.47,0.95,0.56,0.72,0.14,0.44,0.08,0.38,0.56,0.33,0.29,0.35,0.27,0.53,0.18
nug.csv,0.43,1.0,0.19,0.0,1.0,0.0,1.0,0.24,0.17,0.16,0.48,0.41,0.0,0.61,0.39,0.59,0.13,0.38
nuttx.csv,0.58,0.08,0.58,0.67,0.28,0.78,0.74,0.7,0.83,0.83,0.69,0.65,0.83,0.72,0.71,0.37,0.44,0.62
proftp.csv,0.15,0.26,0.14,0.53,0.52,0.22,0.2,0.03,0.35,0.22,0.38,0.27,0.33,0.25,0.32,0.14,0.3,0.16
pydev.csv,0.12,0.9,0.06,0.47,0.57,0.33,0.68,0.35,0.67,0.2,0.24,0.79,0.67,0.0,0.24,0.39,0.41,0.18
tcl.csv,0.19,0.03,0.08,0.39,0.02,0.11,0.22,0.49,0.41,0.08,0.21,0.15,0.17,0.38,0.24,0.33,0.5,0.3
truevision.csv,0.91,0.46,0.31,0.36,0.45,0.44,0.74,0.43,0.21,0.85,0.17,0.0,0.5,0.51,0.84,0.57,0.28,0.46
uclmda.csv,0.15,0.33,0.17,0.31,0.02,0.0,0.52,0.27,0.14,0.23,0.59,0.24,0.0,0.32,0.18,0.41,0.02,0.23
uwom.csv,0.43,0.77,0.31,0.69,0.12,0.22,0.76,0.89,0.3,0.17,0.45,0.37,0.83,0.65,0.52,0.69,0.92,0.01
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
wxstudio.csv,0.18,0.21,0.17,0.42,0.62,0.56,0.31,0.3,0.45,0.5,0.17,0.3,0.5,0.68,0.27,0.0,0.71,0.61
