,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.18,0.05,0.0,0.08,0.02,0.06,0.02,0.04,0.0,0.07,1.0,0.05
echongl.csv,0.27,0.44,0.44,0.3,0.5,0.41,1.0,0.15,0.39,0.43,0.25,0.18
hazelcast.csv,0.91,1.0,0.71,0.9,0.73,0.97,0.98,1.0,1.0,0.83,0.88,0.9
japano.csv,0.79,0.73,0.68,0.52,1.0,0.6,0.95,0.44,1.0,0.75,0.62,0.5
jmol.csv,0.55,0.47,0.24,0.64,0.44,1.0,0.27,0.22,0.43,0.6,0.62,0.57
mobicents.csv,0.45,0.45,0.27,0.98,0.56,0.46,0.4,0.74,0.32,0.46,0.62,0.5
nunit.csv,0.39,0.67,0.32,0.36,0.34,0.55,0.23,0.56,0.14,0.09,0.5,0.9
openefm.csv,1.0,0.4,0.24,0.53,0.46,0.62,0.06,0.52,0.32,0.56,0.75,0.68
snakeyaml.csv,0.82,0.56,0.76,0.57,0.66,0.41,0.78,0.96,0.57,0.62,1.0,0.75
trackit.csv,0.64,0.58,1.0,0.34,0.38,0.38,0.64,0.48,0.36,0.3,0.5,0.38
unicase.csv,0.7,0.67,0.63,0.55,0.76,0.71,0.86,0.74,0.25,1.0,0.75,0.68
wheat.csv,0.27,0.22,0.2,0.47,0.45,0.08,0.53,0.19,0.93,0.32,0.12,0.38
