,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.75,0.62,0.49,0.74,0.77,0.98,0.69,0.58,0.85,0.93,0.69,0.43,0.68,0.88,0.49,0.43,0.54,0.83
bacula.csv,0.45,0.52,0.36,0.54,0.41,0.53,0.63,0.6,0.51,0.54,0.43,0.55,0.41,0.46,0.39,0.49,0.41,0.33
blue-c.csv,0.42,0.45,0.43,0.65,0.48,0.47,0.5,0.53,0.46,0.55,0.44,0.37,0.38,0.48,0.39,0.49,0.41,0.44
enlightenment.csv,0.43,0.42,0.31,0.44,0.39,0.47,0.43,0.5,0.4,0.46,0.44,0.33,0.34,0.53,0.41,0.4,0.38,0.32
fltk.csv,0.46,0.54,0.43,0.76,0.47,0.54,0.43,0.5,0.6,0.59,0.4,0.37,0.41,0.51,0.41,0.5,0.42,0.36
freewrl.csv,0.37,0.43,0.31,0.69,0.36,0.46,0.38,0.5,0.41,0.49,0.41,0.33,0.34,0.39,0.41,0.38,0.42,0.33
genecys.csv,0.41,0.43,0.43,0.49,0.47,0.53,0.77,0.59,0.44,0.5,0.45,0.71,0.35,0.42,0.4,0.4,0.45,0.42
genoviz.csv,0.95,0.9,0.93,0.0,0.66,0.9,0.0,0.67,0.86,0.94,0.89,0.0,0.7,0.96,0.0,0.91,0.84,0.78
gzigzag.csv,0.43,0.52,0.31,0.5,0.52,0.97,0.67,0.45,0.36,0.53,0.3,0.36,0.42,0.44,0.4,0.38,0.76,0.33
jparsec.csv,0.4,0.47,0.32,0.33,0.39,0.45,0.47,0.49,0.43,0.5,0.74,0.0,0.36,0.4,0.46,0.58,0.43,0.32
lportal.csv,0.67,0.9,0.5,0.0,0.86,0.9,0.0,0.67,0.97,0.95,0.0,0.0,0.58,0.83,0.5,0.8,0.74,0.75
ogrehg.csv,0.41,0.46,0.5,0.72,0.48,0.59,0.7,0.54,0.42,0.57,0.41,0.5,0.34,0.46,0.42,0.5,0.41,0.31
patterntesting.csv,0.37,0.45,0.32,0.61,0.37,0.46,0.41,0.49,0.44,0.47,0.45,0.33,0.34,0.42,0.39,0.4,0.38,0.33
pfaedit.csv,0.8,0.52,0.4,0.57,0.43,0.74,0.43,0.45,0.93,0.52,0.37,0.5,0.47,0.8,0.62,0.91,0.47,0.42
pgui.csv,0.44,0.0,0.0,0.44,0.41,0.0,0.42,0.35,0.0,0.0,0.44,0.33,0.41,0.56,0.42,0.4,0.0,0.33
roller.csv,0.4,0.43,0.32,0.54,0.38,0.45,0.45,0.5,0.44,0.49,0.46,0.4,0.43,0.41,0.43,0.5,0.4,0.33
sylpheed-claws.csv,0.45,0.39,0.31,0.38,0.32,0.47,0.42,0.5,0.45,0.45,0.44,0.75,0.32,0.41,0.47,0.41,0.38,0.3
xbg.csv,0.97,0.97,0.0,0.7,0.95,0.99,0.89,0.94,0.99,0.98,0.96,0.0,0.94,0.89,0.0,0.72,1.0,0.0
