,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.45,0.67,0.91,0.56,0.57,0.69,0.92,0.95,0.67,0.4,0.46,0.82
echongl.csv,0.51,0.64,0.78,0.51,0.59,0.65,0.36,0.97,0.69,0.41,0.54,0.47
hazelcast.csv,0.35,0.33,0.35,0.33,0.34,0.32,0.44,0.35,0.31,0.34,0.37,0.33
japano.csv,0.49,0.66,0.46,0.55,0.54,0.42,0.41,0.45,0.37,0.64,0.44,0.57
jmol.csv,0.42,0.5,0.76,0.44,0.51,0.42,0.32,0.43,0.73,0.44,0.37,0.45
mobicents.csv,0.42,0.52,0.47,0.45,0.36,0.34,0.35,0.68,0.48,0.43,0.41,0.61
nunit.csv,0.58,0.53,0.83,0.58,0.55,0.53,0.73,0.97,0.48,0.98,0.41,0.69
openefm.csv,0.49,0.43,0.49,0.44,0.63,0.62,0.96,0.78,0.52,0.93,0.89,0.71
snakeyaml.csv,0.53,0.44,0.75,0.47,0.5,0.64,0.65,0.58,0.56,0.67,0.61,0.97
trackit.csv,0.95,0.9,0.5,0.98,0.96,0.82,0.8,0.86,0.46,0.99,0.5,0.72
unicase.csv,0.43,0.45,0.51,0.44,0.52,0.41,0.41,0.42,0.47,0.42,0.38,0.54
wheat.csv,0.47,0.58,0.72,0.54,0.5,0.71,0.32,0.51,0.46,0.8,0.65,0.45
