,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.62,0.72,0.97,0.48,0.59,0.81,0.44,0.8,0.68,0.46,0.31,0.72,0.27,0.58,0.66,0.76,0.6
delphilhlplib.csv,0.92,0.72,0.29,0.77,0.51,0.26,0.44,0.59,0.11,0.3,0.57,0.19,0.71,0.53,0.55,0.29,0.87
exordium.csv,0.38,0.33,0.02,0.11,0.37,0.1,0.33,0.04,0.0,0.06,0.25,0.02,0.15,0.11,0.07,0.0,0.24
fltk.csv,0.71,0.33,0.37,0.39,0.69,0.32,0.22,0.49,0.6,0.13,0.08,0.26,0.2,0.47,0.76,0.47,0.58
genoviz.csv,0.12,0.5,0.01,0.0,0.29,0.06,0.0,0.1,0.0,0.01,0.02,0.02,0.04,0.05,0.14,0.0,0.02
gzigzag.csv,0.0,0.06,0.06,0.0,0.0,0.13,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.05,0.38,0.0,0.0
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moast.csv,0.92,0.06,0.66,0.86,0.65,0.16,0.22,0.82,0.74,0.21,0.52,0.49,0.76,0.42,0.31,0.29,0.69
mptvseries.csv,0.42,0.0,0.39,0.32,0.13,0.13,0.11,0.22,0.3,0.01,0.0,0.04,0.07,0.21,0.0,0.0,0.51
openfrag.csv,0.92,0.94,0.48,0.64,0.59,0.19,0.67,0.59,0.02,0.25,0.43,0.34,0.49,0.26,0.72,0.35,0.93
qdvdauthor.csv,0.33,0.61,0.88,0.61,0.44,0.81,0.67,0.73,1.0,0.66,0.55,0.83,0.55,0.68,0.07,0.41,0.49
qse.csv,0.83,0.67,0.6,0.61,0.84,0.35,0.78,0.75,0.11,0.41,0.55,0.25,0.62,0.47,0.9,0.59,0.93
sauerbraten.csv,0.42,0.83,0.98,0.98,0.9,0.87,1.0,0.96,1.0,0.99,0.94,1.0,0.84,0.89,0.86,0.88,0.62
toped.csv,0.88,0.94,0.99,0.84,0.9,0.84,0.67,0.96,0.89,0.69,0.73,0.85,0.6,0.84,0.86,0.47,0.87
truevision.csv,0.58,0.28,0.54,0.57,0.35,0.68,0.56,0.67,0.06,0.15,0.22,0.38,0.33,0.53,0.97,0.24,0.64
zoolib.csv,0.04,0.17,0.0,0.0,0.14,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.07
zxing.csv,0.88,1.0,0.79,0.77,0.81,0.58,0.44,0.69,0.6,0.31,0.54,0.43,0.56,0.53,0.9,0.53,0.87
