,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,2.0,1.0,2.0,10.0,22.0,9.0,0.0,0.0,17.0,0.0,9.0,1.0,1.0,0.0,2.0,0.0,12.0
delphilhlplib.csv,4.0,1.0,4.0,5.0,13.0,0.0,0.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,23.0
exordium.csv,1.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0
fltk.csv,4.0,0.0,1.0,5.0,34.0,4.0,0.0,0.0,12.0,0.0,15.0,1.0,1.0,2.0,2.0,0.0,16.0
genoviz.csv,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,72.0,0.0
gzigzag.csv,0.0,1.0,0.0,74.0,121.0,1.0,0.0,0.0,0.0,108.0,360.0,118.0,0.0,0.0,1.0,72.0,0.0
irrlicht.csv,6.0,1.0,3.0,14.0,1.0,6.0,0.0,0.0,7.0,1.0,15.0,3.0,1.0,0.0,2.0,0.0,28.0
moast.csv,5.0,0.0,3.0,12.0,7.0,3.0,0.0,0.0,7.0,1.0,15.0,3.0,1.0,0.0,2.0,0.0,17.0
mptvseries.csv,1.0,70.0,1.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,257.0,0.0,15.0
openfrag.csv,4.0,1.0,4.0,10.0,20.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,25.0
qdvdauthor.csv,3.0,0.0,3.0,10.0,20.0,4.0,0.0,0.0,7.0,1.0,18.0,3.0,1.0,0.0,0.0,0.0,16.0
qse.csv,3.0,1.0,6.0,9.0,1.0,3.0,0.0,0.0,1.0,2.0,6.0,1.0,1.0,0.0,2.0,0.0,33.0
sauerbraten.csv,2.0,0.0,3.0,14.0,1.0,6.0,0.0,0.0,7.0,1.0,13.0,3.0,1.0,0.0,2.0,0.0,28.0
toped.csv,5.0,1.0,3.0,13.0,1.0,5.0,0.0,0.0,7.0,1.0,26.0,2.0,1.0,0.0,2.0,0.0,23.0
truevision.csv,3.0,1.0,1.0,7.0,10.0,7.0,0.0,0.0,2.0,1.0,6.0,1.0,1.0,2.0,2.0,0.0,21.0
zoolib.csv,62.0,1.0,236.0,74.0,10.0,0.0,0.0,1.0,81.0,0.0,360.0,118.0,0.0,0.0,0.0,0.0,49.0
zxing.csv,3.0,1.0,3.0,14.0,1.0,1.0,0.0,1.0,8.0,1.0,11.0,2.0,1.0,6.0,1.0,0.0,22.0
