,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.25,0.32,0.41,0.29,0.28,0.3,0.25,0.38,0.39,0.23,0.21,0.34,0.26,0.27,0.38,0.3,0.22
delphilhlplib.csv,0.3,0.34,0.26,0.35,0.24,0.18,0.23,0.35,0.17,0.2,0.38,0.25,0.34,0.25,0.38,0.23,0.3
exordium.csv,0.22,0.2,0.39,0.17,0.2,0.14,0.25,0.31,0.38,0.33,0.26,0.33,0.3,0.36,0.13,0.27,0.16
fltk.csv,0.29,0.25,0.3,0.25,0.34,0.22,0.23,0.34,0.35,0.17,0.46,0.27,0.26,0.22,0.38,0.32,0.3
genoviz.csv,0.25,0.32,0.37,0.35,0.18,0.24,0.2,0.12,0.39,0.37,0.46,0.32,0.26,0.14,0.24,0.36,0.24
gzigzag.csv,0.32,0.27,0.33,0.41,0.39,0.12,0.25,0.39,0.37,0.38,0.46,0.43,0.37,0.12,0.16,0.36,0.3
irrlicht.csv,0.33,0.38,0.42,0.41,0.39,0.34,0.32,0.44,0.43,0.38,0.48,0.43,0.39,0.37,0.38,0.36,0.32
moast.csv,0.32,0.18,0.41,0.41,0.31,0.22,0.27,0.44,0.41,0.24,0.47,0.39,0.39,0.32,0.38,0.3,0.28
mptvseries.csv,0.24,0.38,0.3,0.25,0.14,0.18,0.23,0.23,0.27,0.35,0.48,0.18,0.18,0.19,0.38,0.23,0.2
openfrag.csv,0.32,0.37,0.26,0.33,0.27,0.16,0.27,0.34,0.13,0.2,0.27,0.3,0.28,0.24,0.38,0.29,0.32
qdvdauthor.csv,0.24,0.3,0.4,0.33,0.26,0.32,0.27,0.41,0.43,0.27,0.32,0.38,0.32,0.34,0.37,0.25,0.24
qse.csv,0.29,0.28,0.32,0.33,0.36,0.24,0.3,0.38,0.2,0.19,0.34,0.2,0.29,0.24,0.38,0.26,0.32
sauerbraten.csv,0.25,0.34,0.42,0.41,0.39,0.34,0.3,0.42,0.43,0.38,0.47,0.42,0.38,0.37,0.38,0.33,0.28
toped.csv,0.32,0.38,0.42,0.41,0.38,0.34,0.3,0.44,0.41,0.37,0.43,0.42,0.35,0.36,0.38,0.34,0.32
truevision.csv,0.24,0.25,0.3,0.31,0.21,0.26,0.25,0.35,0.13,0.18,0.21,0.25,0.23,0.24,0.38,0.25,0.26
zoolib.csv,0.33,0.28,0.42,0.41,0.37,0.3,0.28,0.44,0.43,0.38,0.48,0.43,0.35,0.36,0.23,0.36,0.32
zxing.csv,0.3,0.38,0.38,0.36,0.35,0.28,0.27,0.36,0.32,0.18,0.37,0.31,0.31,0.24,0.38,0.33,0.3
