,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.52,0.63,0.75,0.59,0.32,0.62,0.04,0.11,0.49,0.14,0.75,0.03,0.38,0.46,0.93,0.36
arcallians.csv,0.57,0.58,0.82,0.71,0.51,0.76,0.08,0.09,0.44,0.53,0.66,0.0,0.35,0.39,0.83,0.35
arianne.csv,0.72,0.49,0.69,0.52,0.29,0.52,0.11,0.09,0.47,0.19,0.63,0.02,0.35,0.37,0.81,0.28
aztec.csv,0.52,0.54,0.81,0.65,0.68,0.58,0.24,0.12,0.51,0.25,0.66,0.07,0.83,0.65,0.79,0.36
biopax.csv,0.5,0.51,0.69,0.53,0.27,0.52,0.07,0.11,0.42,0.2,0.63,0.02,0.23,0.37,0.98,0.25
bl-toolkit.csv,0.51,0.39,0.91,0.52,0.22,0.52,0.07,0.15,0.46,0.19,0.63,0.0,0.17,0.36,0.61,0.24
gnupdate.csv,0.55,0.46,0.79,0.62,0.27,0.53,0.07,0.08,0.45,0.5,0.65,0.09,0.2,0.38,0.76,0.26
les-indemodables.csv,0.57,0.58,0.79,0.73,0.39,0.74,0.09,0.11,0.52,0.29,0.62,0.0,0.4,0.55,0.83,0.29
ng4j.csv,0.58,0.65,0.86,0.68,0.57,0.65,0.25,0.13,0.51,0.38,0.7,0.03,0.34,0.41,1.0,0.5
openxava.csv,0.49,0.57,0.7,0.76,0.06,0.5,0.04,0.21,0.4,0.16,0.64,0.06,0.26,0.66,0.71,0.3
phonon-vlc-mplayer.csv,0.68,0.56,0.86,0.59,0.63,0.77,0.25,0.12,0.53,0.38,0.69,0.05,0.62,0.39,1.0,0.38
qgis.csv,0.52,0.69,0.6,0.0,0.47,0.78,0.03,0.1,0.48,0.0,0.0,0.04,0.33,0.45,0.93,0.37
rsyslog.csv,0.53,0.67,0.56,0.78,0.3,0.69,0.05,0.09,0.42,0.39,0.72,0.03,0.25,0.43,0.81,0.29
vars-redux.csv,0.57,0.72,0.74,0.73,0.46,0.62,0.0,0.11,0.63,0.16,0.68,0.04,0.34,0.44,1.0,0.47
xapian.csv,0.58,0.59,0.68,0.59,0.34,0.61,0.05,0.1,0.43,0.22,0.68,0.02,0.53,0.34,0.79,0.27
xqilla.csv,0.42,0.48,0.8,1.0,0.04,0.38,0.04,1.0,0.35,0.09,0.72,0.3,0.13,1.0,0.56,0.11
