,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.57,0.65,0.64,0.68,0.62,0.54,0.33,0.0,0.67,0.42,0.65,0.3,0.74,0.7,0.6,0.44
arcallians.csv,0.64,0.65,0.7,0.66,0.81,0.76,0.05,0.2,0.58,0.5,0.31,0.0,0.63,0.53,0.68,0.71
arianne.csv,0.71,0.3,0.0,0.0,0.42,0.0,0.72,0.2,0.61,0.0,0.0,0.0,0.63,0.21,0.61,0.5
aztec.csv,0.29,0.61,0.3,0.71,0.51,0.64,0.82,0.51,0.55,0.65,0.54,0.69,0.23,0.46,0.31,0.61
biopax.csv,0.09,0.46,0.0,0.17,0.17,0.21,0.05,0.0,0.0,0.21,0.53,0.0,0.35,0.21,0.85,0.0
bl-toolkit.csv,0.57,0.33,0.8,0.0,0.44,0.0,0.24,0.65,0.61,0.0,0.0,0.0,0.09,0.0,0.29,0.0
gnupdate.csv,0.59,0.42,0.26,0.65,0.51,0.48,0.09,0.34,0.5,0.84,0.55,0.38,0.44,0.57,0.47,0.55
les-indemodables.csv,0.42,0.53,0.62,0.73,0.57,0.49,0.25,0.54,0.55,0.53,0.33,0.0,0.57,0.7,0.39,0.55
ng4j.csv,0.37,0.59,0.54,0.65,0.76,0.57,0.05,0.55,0.68,0.74,0.46,0.57,0.42,0.61,0.44,0.75
openxava.csv,0.4,0.48,0.17,0.54,0.07,0.11,0.31,0.73,0.28,0.42,0.58,0.88,0.63,0.55,0.09,0.52
phonon-vlc-mplayer.csv,0.49,0.6,0.65,0.66,0.77,0.77,0.58,0.51,0.71,0.81,0.53,0.67,0.36,0.49,0.5,0.71
qgis.csv,0.44,0.65,0.38,0.0,0.82,0.46,0.05,0.26,0.63,0.0,0.0,0.68,0.64,0.7,0.74,0.53
rsyslog.csv,0.6,0.66,0.23,0.8,0.62,0.66,0.38,0.25,0.51,0.5,0.43,0.36,0.58,0.31,0.28,0.39
vars-redux.csv,0.53,0.6,0.62,0.47,0.43,0.4,0.0,0.21,0.78,0.49,0.41,0.74,0.64,0.67,0.48,0.5
xapian.csv,0.68,0.68,0.47,0.64,0.68,0.67,0.36,0.31,0.35,0.58,0.44,0.0,0.65,0.38,0.51,0.58
xqilla.csv,0.42,0.2,0.1,0.05,0.05,0.32,0.34,0.15,0.36,0.12,0.44,0.99,0.3,0.04,0.17,0.18
