,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.63,0.48,0.63,0.13,0.99,0.52,0.32,0.49,0.75,0.37,0.45,0.77,0.51,0.31
flylinkdc.csv,1.0,0.25,0.54,0.44,0.35,0.44,0.75,0.34,0.31,0.48,0.26,0.27,0.33,0.31
grisbi.csv,0.68,0.55,0.7,0.36,0.68,0.26,0.61,0.53,1.0,0.35,0.5,0.62,0.6,0.4
jaolt.csv,0.6,0.66,0.59,0.47,0.32,0.51,0.83,0.44,0.62,0.97,0.13,0.29,0.33,0.6
maidsafe-dht.csv,0.32,0.2,1.0,0.14,0.39,0.02,0.47,0.16,0.18,0.35,0.0,0.26,0.14,0.42
mimosa.csv,0.67,0.53,0.51,0.67,0.55,0.47,0.43,0.98,0.51,0.51,0.25,0.67,0.43,0.3
n2cms.csv,0.69,0.98,0.54,0.21,0.51,0.34,0.73,0.38,0.68,0.46,0.25,0.39,0.37,0.27
nassp.csv,0.1,0.07,0.48,0.21,0.1,0.17,0.86,0.28,0.11,0.22,0.0,0.02,0.15,0.13
nug.csv,0.0,0.37,0.4,0.9,0.38,0.59,0.6,0.0,0.02,0.53,0.0,0.4,0.29,0.49
quantlib.csv,0.17,0.46,0.25,0.21,0.33,0.48,0.37,0.3,0.3,0.51,0.37,0.19,0.93,0.4
red5.csv,0.67,0.57,0.61,0.7,0.52,0.94,0.65,0.57,0.22,0.56,0.6,0.66,0.42,0.67
super-tux.csv,0.0,0.57,0.0,0.0,0.13,0.35,0.0,0.76,0.0,0.0,0.0,1.0,0.0,0.51
tcvp.csv,0.0,0.15,0.0,0.0,0.06,0.09,0.2,0.06,0.0,0.05,1.0,0.09,0.29,0.02
zxing.csv,0.63,0.54,0.64,0.38,0.5,0.37,0.77,0.5,0.68,0.59,0.64,0.42,0.41,1.0
