,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.84,0.44,0.86,0.76,1.0,0.58,0.92,0.45,0.92,0.34,1.0,0.76,0.67,0.27
flylinkdc.csv,1.0,0.21,0.5,0.41,0.3,0.4,0.75,0.29,0.26,0.45,0.22,0.24,0.29,0.27
grisbi.csv,0.81,0.69,0.86,0.59,0.68,0.86,1.0,0.95,1.0,0.96,0.89,0.59,0.75,0.95
jaolt.csv,0.59,0.83,0.57,0.53,0.28,0.56,1.0,0.97,0.59,0.97,0.11,0.25,0.29,0.82
maidsafe-dht.csv,0.27,0.17,1.0,0.12,0.34,0.02,0.42,0.13,0.15,0.3,0.0,0.22,0.12,0.38
mimosa.csv,0.78,0.54,0.57,0.82,0.53,0.49,0.42,0.97,0.47,0.56,0.22,0.69,0.42,0.27
n2cms.csv,0.7,0.98,0.5,0.18,0.47,0.3,0.75,0.34,0.65,0.42,0.22,0.35,0.33,0.23
nassp.csv,0.08,0.06,0.43,0.18,0.08,0.14,0.83,0.24,0.09,0.19,0.0,0.02,0.12,0.11
nug.csv,1.0,0.92,0.36,0.88,0.36,0.67,0.58,1.0,0.02,0.77,0.0,0.37,0.25,0.54
quantlib.csv,0.14,0.46,0.21,0.18,0.29,0.63,0.33,0.26,0.27,0.79,0.33,0.16,0.92,0.41
red5.csv,0.86,0.6,0.64,0.76,0.67,0.95,0.92,0.58,0.45,0.66,1.0,0.63,0.42,0.66
super-tux.csv,1.0,0.62,1.0,1.0,1.0,0.91,1.0,0.95,1.0,0.99,1.0,1.0,1.0,0.93
tcvp.csv,0.0,0.12,0.0,0.0,0.05,0.07,0.17,0.05,0.0,0.04,1.0,0.07,0.25,0.02
zxing.csv,0.62,0.52,0.64,0.41,0.46,0.33,0.92,0.53,0.64,0.58,0.67,0.38,0.38,1.0
