,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.32,0.49,0.22,0.27,0.99,0.58,0.21,0.63,0.88,0.68,0.12,0.99,0.19,0.83
flylinkdc.csv,1.0,0.4,0.37,0.35,0.92,0.68,0.43,0.73,1.0,0.75,0.17,0.92,0.21,0.79
grisbi.csv,0.34,0.39,0.25,0.24,0.86,0.58,0.26,0.51,1.0,0.73,0.12,0.98,0.22,0.78
jaolt.csv,0.39,0.46,0.32,0.27,0.89,0.57,0.34,0.51,0.93,0.99,0.1,0.96,0.17,0.79
maidsafe-dht.csv,0.67,0.53,1.0,0.22,0.89,0.12,0.38,0.62,1.0,0.88,0.0,0.95,0.11,0.81
mimosa.csv,0.34,0.42,0.17,0.39,0.81,0.55,0.18,1.0,0.91,0.69,0.05,0.97,0.17,0.68
n2cms.csv,0.43,0.98,0.35,0.18,0.86,0.57,0.36,0.57,0.96,0.84,0.07,0.97,0.2,0.72
nassp.csv,0.21,0.5,0.55,0.43,0.82,0.5,1.0,0.75,1.0,0.58,0.0,1.0,0.33,0.75
nug.csv,0.27,0.4,0.2,1.0,0.67,0.63,0.35,0.48,1.0,0.72,0.0,0.95,0.17,0.73
quantlib.csv,0.17,0.35,0.2,0.6,0.76,0.55,0.31,0.42,0.75,0.72,0.13,0.89,0.96,0.68
red5.csv,0.34,0.43,0.24,0.43,0.74,0.93,0.26,0.54,0.7,0.72,0.14,0.98,0.15,0.88
super-tux.csv,0.27,0.41,0.19,0.32,0.75,0.6,0.21,0.6,0.82,0.71,0.11,1.0,0.2,0.79
tcvp.csv,0.0,0.46,0.0,0.0,0.75,0.33,0.18,0.15,0.0,1.0,1.0,0.88,0.6,0.2
zxing.csv,0.4,0.46,0.28,0.21,0.85,0.61,0.31,0.44,0.98,0.81,0.15,0.97,0.18,1.0
