,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.79,0.55,0.95,0.49,0.49,1.06,0.58,0.78,0.62,0.24,0.85,0.44
delphilhlplib.csv,0.36,0.54,0.8,0.62,0.49,1.09,0.58,0.53,0.94,0.65,0.42,0.71
factor.csv,1.0,0.89,0.81,1.0,0.74,0.99,0.67,1.0,0.95,0.84,0.18,0.52
fceugc.csv,1.0,0.7,0.7,0.42,0.56,0.85,0.58,0.59,0.61,0.65,0.57,0.5
fltk.csv,0.62,0.43,0.73,0.62,0.37,0.96,0.89,0.62,0.33,0.63,0.37,0.5
jstock.csv,0.89,0.82,0.84,0.75,0.71,0.78,0.68,0.2,0.58,0.7,0.38,0.62
lportal.csv,0.94,0.94,0.99,1.0,0.87,1.0,0.32,1.0,0.92,1.0,0.98,0.82
natpad.csv,0.58,0.68,0.83,0.7,0.45,1.24,0.77,0.58,0.59,0.7,0.47,0.45
ogre.csv,0.81,0.65,0.7,0.82,0.92,0.06,0.73,0.87,0.85,0.65,1.07,0.77
phet.csv,0.73,0.95,0.46,0.87,1.06,0.51,1.0,0.91,1.17,0.92,0.93,0.95
sandiaportals.csv,0.72,0.67,0.86,0.6,0.44,1.01,0.92,0.87,0.27,0.77,0.3,0.48
sumatrapdf.csv,1.0,0.82,0.85,0.8,0.29,1.13,0.96,0.6,0.52,0.74,0.74,0.52
