,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.25,0.71,0.09,0.57,0.52,0.06,0.67,0.23,0.38,0.83,0.17,0.65
delphilhlplib.csv,0.77,0.56,0.78,0.57,0.52,0.22,0.84,0.54,0.06,0.5,0.76,0.3
factor.csv,0.0,0.13,0.2,0.0,0.26,0.01,0.4,0.0,0.06,0.17,0.95,0.49
fceugc.csv,1.0,0.43,0.52,0.67,0.55,0.31,0.64,0.92,0.43,0.5,0.68,0.53
fltk.csv,0.57,0.67,0.74,0.62,0.65,0.18,0.91,0.46,0.75,0.58,0.88,0.58
jstock.csv,0.91,0.19,0.2,0.29,0.29,0.4,0.38,0.92,0.42,0.33,0.66,0.4
lportal.csv,0.06,0.06,0.01,0.0,0.13,0.0,0.74,0.0,0.08,0.0,0.02,0.19
natpad.csv,0.53,0.84,0.67,0.81,0.71,0.27,0.92,0.69,0.79,0.92,0.73,0.67
ogre.csv,0.64,0.58,0.45,0.67,0.58,0.94,0.59,0.85,0.66,0.58,0.27,0.7
phet.csv,0.32,0.1,0.62,0.33,0.35,0.88,0.0,0.69,0.4,0.08,0.39,0.28
sandiaportals.csv,0.62,0.85,0.46,0.62,0.58,0.12,0.99,0.15,0.79,0.67,0.85,0.74
sumatrapdf.csv,0.94,0.91,0.87,0.9,0.77,0.47,0.96,0.85,0.85,0.92,0.95,0.72
