,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.13,0.67,0.11,0.59,0.57,0.07,0.56,0.1,0.27,0.82,0.31,0.66
delphilhlplib.csv,0.84,0.42,0.29,0.56,0.34,0.12,0.45,0.43,0.63,0.37,0.49,0.23
factor.csv,0.0,0.25,0.09,0.06,0.27,0.0,0.55,0.0,0.6,0.2,0.93,0.52
fceugc.csv,0.0,0.42,0.53,0.68,0.54,0.37,0.59,0.76,0.42,0.52,0.55,0.48
fltk.csv,0.42,0.7,0.62,0.57,0.57,0.11,0.4,0.18,0.71,0.52,0.76,0.4
jstock.csv,0.24,0.32,0.23,0.42,0.34,0.4,0.44,0.88,0.58,0.29,0.63,0.4
lportal.csv,0.1,0.09,0.01,0.0,0.12,0.0,0.74,0.0,0.1,0.0,0.02,0.25
natpad.csv,0.1,0.6,0.31,0.58,0.52,0.14,0.74,0.1,0.73,0.52,0.79,0.69
ogre.csv,0.51,0.56,0.47,0.53,0.4,0.95,0.53,0.42,0.46,0.56,0.26,0.55
phet.csv,0.46,0.07,0.61,0.31,0.26,0.88,0.01,0.42,0.0,0.1,0.37,0.22
sandiaportals.csv,0.56,0.67,0.42,0.58,0.62,0.13,0.3,0.27,0.78,0.36,0.8,0.75
sumatrapdf.csv,0.0,0.51,0.31,0.54,0.78,0.0,0.09,0.78,0.76,0.52,0.63,0.75
