,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.19,0.71,0.09,0.52,0.63,0.12,0.08,0.11,0.37,0.53,0.4,0.63
delphilhlplib.csv,0.88,0.52,0.19,0.54,0.44,0.18,0.09,0.45,0.74,0.22,0.59,0.29
factor.csv,0.0,0.31,0.11,0.09,0.35,0.01,0.11,0.0,0.69,0.16,0.94,0.55
fceugc.csv,0.85,0.46,0.34,0.61,0.47,0.51,0.11,0.49,0.52,0.26,0.61,0.49
fltk.csv,0.51,0.73,0.4,0.46,0.65,0.16,0.07,0.17,0.8,0.26,0.79,0.45
jstock.csv,0.82,0.41,0.19,0.42,0.44,0.54,0.09,0.67,0.68,0.22,0.7,0.46
lportal.csv,0.14,0.12,0.03,0.0,0.18,0.01,0.24,0.0,0.14,0.0,0.05,0.33
natpad.csv,0.14,0.63,0.21,0.48,0.52,0.21,0.12,0.11,0.82,0.22,0.84,0.63
ogre.csv,0.68,0.59,0.32,0.44,0.38,0.97,0.07,0.36,0.67,0.26,0.31,0.51
phet.csv,0.56,0.1,0.49,0.24,0.24,0.92,0.01,0.31,0.46,0.08,0.43,0.19
sandiaportals.csv,0.75,0.74,0.25,0.48,0.63,0.2,0.08,0.26,0.85,0.18,0.84,0.68
sumatrapdf.csv,0.83,0.73,0.35,0.51,0.75,0.71,0.08,0.51,0.83,0.29,0.82,0.65
