,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.11,0.79,0.09,0.57,0.52,0.06,0.6,0.08,0.23,0.83,0.27,0.65
delphilhlplib.csv,0.87,0.37,0.26,0.52,0.29,0.1,0.42,0.38,0.58,0.33,0.44,0.19
factor.csv,0.0,0.21,0.07,0.05,0.23,0.0,0.53,0.0,0.57,0.17,0.95,0.47
fceugc.csv,1.0,0.38,0.54,0.67,0.52,0.35,0.59,0.92,0.38,0.5,0.56,0.44
fltk.csv,0.38,0.7,0.67,0.57,0.52,0.09,0.82,0.15,0.66,0.5,0.76,0.35
jstock.csv,0.92,0.28,0.2,0.38,0.29,0.38,0.41,0.92,0.53,0.25,0.59,0.35
lportal.csv,0.08,0.07,0.01,0.0,0.1,0.0,0.72,0.0,0.08,0.0,0.02,0.21
natpad.csv,0.08,0.64,0.28,0.57,0.48,0.12,0.92,0.08,0.79,0.58,0.76,0.7
ogre.csv,0.64,0.58,0.45,0.71,0.58,0.94,0.57,0.85,0.64,0.58,0.27,0.7
phet.csv,0.43,0.06,0.58,0.29,0.35,0.85,0.01,0.69,0.4,0.08,0.37,0.19
sandiaportals.csv,0.75,0.88,0.42,0.57,0.58,0.11,0.99,0.23,0.77,0.33,0.8,0.79
sumatrapdf.csv,0.94,0.93,0.83,0.9,0.77,0.56,0.99,1.0,0.79,1.0,0.98,0.84
