,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.0,2.0,9.0,62.0,4.0,1.0,2.0,1.0,0.0,6.0,0.0,8.0,2.0
archive-crawler.csv,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0
biodwh.csv,0.0,142.0,26.0,62.0,0.0,54.0,0.0,92.0,1.0,0.0,1.0,11.0,0.0
blue-c.csv,1.0,2.0,33.0,62.0,4.0,1.0,0.0,2.0,0.0,4.0,0.0,22.0,11.0
dynalloy.csv,2.0,1.0,87.0,62.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,32.0,4.0
jcae.csv,0.0,3.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
kmatplot.csv,3.0,5.0,27.0,1.0,78.0,0.0,2.0,1.0,0.0,2.0,1.0,31.0,9.0
mscore.csv,0.0,2.0,48.0,19.0,2.0,2.0,0.0,3.0,0.0,8.0,1.0,33.0,17.0
nosleepsoftware.csv,0.0,0.0,11.0,3.0,78.0,54.0,1.0,0.0,0.0,77.0,50.0,181.0,6.0
openmalaria.csv,7.0,1.0,46.0,22.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,12.0,11.0
popeye-chess.csv,4.0,1.0,36.0,18.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,9.0,11.0
riff-evolve.csv,0.0,0.0,17.0,62.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0
virtuoso.csv,10.0,1.0,1.0,62.0,3.0,54.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0
