,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.31,0.35,0.32,0.56,0.29,0.41,0.2,0.66,0.62,0.49,0.98,0.68,0.36,0.63,0.24,0.24
arcallians.csv,0.3,0.53,0.59,0.53,0.58,0.98,0.25,0.73,0.66,0.45,0.35,0.69,0.4,0.61,0.45,0.4
arianne.csv,0.98,0.46,0.58,0.6,0.53,0.62,0.5,0.72,0.56,0.48,0.48,0.0,0.27,0.44,0.42,0.56
aztec.csv,0.46,0.17,0.07,0.0,0.15,0.55,1.0,0.21,0.46,0.0,0.0,0.38,0.15,0.1,0.2,0.38
biopax.csv,0.59,0.67,0.65,0.64,0.4,0.61,0.5,0.09,0.64,0.67,0.53,0.7,0.59,0.59,0.99,0.75
bl-toolkit.csv,0.54,0.58,0.97,0.61,0.67,0.57,0.51,0.09,0.62,0.5,0.56,0.67,0.42,0.46,0.55,0.54
gnupdate.csv,0.27,0.49,0.26,0.54,0.71,0.39,0.14,0.45,0.68,0.96,0.27,0.38,0.22,0.62,0.43,0.49
les-indemodables.csv,0.24,0.61,0.48,0.43,0.58,0.57,0.41,0.59,0.61,0.34,0.38,0.82,0.58,0.93,0.36,0.24
ng4j.csv,0.45,0.59,0.35,0.57,0.7,0.29,0.1,0.35,0.7,0.68,0.18,0.66,0.35,0.39,0.5,0.88
openxava.csv,0.41,0.24,0.14,0.05,0.07,0.0,0.1,1.0,0.1,0.12,0.01,0.37,0.39,0.17,0.0,0.37
phonon-vlc-mplayer.csv,0.52,0.54,0.48,0.44,0.97,0.13,0.29,0.36,0.56,0.62,0.41,0.37,0.23,0.64,0.73,0.52
qgis.csv,0.35,0.99,0.45,0.57,0.65,0.55,0.33,0.54,0.55,0.44,0.53,0.54,0.43,0.36,0.54,0.4
rsyslog.csv,0.46,0.56,0.36,0.96,0.54,0.49,0.14,0.68,0.55,0.57,0.49,0.64,0.47,0.68,0.43,0.44
vars-redux.csv,0.24,0.3,0.19,0.31,0.15,0.24,0.15,0.64,0.98,0.49,0.36,0.69,0.27,0.19,0.17,0.29
xapian.csv,0.41,0.55,0.23,0.36,0.51,0.57,0.56,0.53,0.57,0.24,0.12,0.89,0.93,0.5,0.3,0.24
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
