,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.7,0.88,0.95,0.79,0.89,0.89,0.98,0.89,1.0,0.87,0.12,0.81
echongl.csv,0.85,0.91,0.93,0.82,0.96,0.75,0.01,0.98,0.8,0.61,0.68,0.91
hazelcast.csv,0.87,0.02,0.85,0.9,0.77,0.91,0.91,0.82,0.76,0.69,0.89,0.79
japano.csv,0.81,0.81,0.61,0.92,0.0,0.97,0.95,0.78,1.0,0.91,0.74,0.92
jmol.csv,0.68,0.4,0.78,0.59,0.84,0.01,0.86,0.59,0.74,0.56,0.78,0.53
mobicents.csv,0.57,0.74,0.71,0.02,0.51,0.57,0.44,0.71,0.76,0.58,0.4,0.65
nunit.csv,0.53,0.91,0.62,0.68,0.57,0.67,0.65,0.64,0.87,0.74,0.43,0.1
openefm.csv,0.06,1.01,0.7,0.71,0.71,0.74,0.94,0.46,0.82,0.72,0.55,0.66
snakeyaml.csv,0.75,0.99,0.59,0.74,0.67,0.74,0.95,0.07,0.69,0.79,0.4,0.76
trackit.csv,0.78,0.71,0.0,0.73,0.96,0.93,0.57,0.96,0.73,0.76,0.87,0.86
unicase.csv,0.87,0.71,0.76,0.81,0.91,0.78,0.76,0.75,0.68,0.04,0.87,0.55
wheat.csv,0.75,0.61,0.9,0.77,0.79,0.79,0.84,0.84,0.07,0.83,0.69,0.71
