,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.1,0.1,0.04,0.15,0.11,0.17,0.0,0.01,0.0,0.07,0.0,0.11
echongl.csv,0.24,0.4,0.0,0.27,0.56,0.22,0.0,0.18,0.42,0.38,0.27,0.39
hazelcast.csv,0.87,0.0,0.83,0.9,0.67,0.91,0.89,0.82,0.75,0.68,0.88,0.77
japano.csv,0.78,0.8,0.57,0.91,0.0,0.96,0.95,0.76,1.0,0.87,0.73,0.91
jmol.csv,0.51,0.0,0.17,0.44,0.67,0.0,0.26,0.34,0.29,0.4,0.77,0.28
mobicents.csv,0.25,0.4,0.26,0.0,0.22,0.26,0.24,0.09,0.12,0.29,0.31,0.3
nunit.csv,0.36,0.8,0.52,0.3,0.22,0.3,0.26,0.12,0.29,0.21,0.35,0.0
openefm.csv,0.01,0.8,0.61,0.35,0.33,0.26,0.61,0.4,0.33,0.54,0.23,0.22
snakeyaml.csv,0.6,0.8,0.48,0.53,0.44,0.65,0.58,0.01,0.67,0.52,0.38,0.65
trackit.csv,0.52,0.4,0.0,0.41,0.67,0.3,0.16,0.36,0.5,0.52,0.44,0.46
unicase.csv,0.84,0.7,0.65,0.79,0.89,0.74,0.76,0.74,0.42,0.04,0.87,0.51
wheat.csv,0.28,0.1,0.17,0.18,0.33,0.22,0.24,0.21,0.0,0.17,0.29,0.33
