,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.03,0.4,0.09,0.04,0.11,0.04,0.0,0.0,0.0,0.04,0.0,0.09
echongl.csv,0.09,0.1,0.09,0.17,0.33,0.13,0.0,0.22,0.29,0.26,0.23,0.39
hazelcast.csv,0.78,0.0,0.78,0.85,0.67,0.91,1.0,0.82,1.0,0.64,0.87,0.8
japano.csv,0.85,0.9,0.74,0.94,0.0,0.91,0.97,0.74,1.0,0.92,0.9,0.94
jmol.csv,0.28,0.3,0.17,0.46,0.67,0.04,0.29,0.31,0.5,0.33,0.88,0.41
mobicents.csv,0.33,0.3,0.3,0.01,0.56,0.3,0.16,0.13,0.12,0.28,0.52,0.18
nunit.csv,0.75,0.9,0.83,0.24,0.22,0.17,0.18,0.13,0.17,0.1,0.25,0.01
openefm.csv,0.01,0.5,0.7,0.39,0.11,0.43,0.16,0.49,0.25,0.92,0.25,0.2
snakeyaml.csv,0.69,0.8,0.43,0.51,0.44,0.43,0.71,0.0,0.71,0.56,0.5,0.68
trackit.csv,0.48,0.2,0.0,0.42,0.33,0.43,0.32,0.23,0.58,0.47,0.23,0.35
unicase.csv,0.69,0.6,0.74,0.69,0.89,0.83,0.87,0.43,0.46,0.02,0.75,0.43
wheat.csv,0.37,0.3,0.13,0.43,0.22,0.09,0.63,0.21,0.0,0.44,0.44,0.61
