,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,1.0,0.03,0.0,0.06,0.06,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.12
jicarilla.csv,0.0,0.05,0.97,0.0,0.12,0.0,0.0,0.05,0.0,0.01,0.0,0.05,0.1,0.08
jmule.csv,0.0,0.67,0.06,0.69,0.62,0.46,0.17,0.1,0.62,0.37,0.58,0.32,0.5,0.96
micomt.csv,0.0,0.03,0.48,0.19,0.21,0.32,0.28,0.1,1.0,0.38,0.42,0.45,0.3,0.25
migen.csv,0.0,0.1,0.21,0.19,0.97,0.29,0.11,0.29,0.08,0.26,0.11,0.05,0.35,0.25
mvnforum.csv,0.5,0.13,0.03,0.44,0.12,0.25,0.94,0.19,0.31,0.28,0.21,0.05,0.15,0.38
ng4j.csv,1.0,0.38,0.0,0.75,0.38,0.36,0.5,0.43,1.0,0.5,0.58,0.18,1.0,0.5
open-data-kit.csv,0.5,0.56,0.24,0.81,0.53,0.64,0.89,0.67,0.85,0.99,0.58,0.41,0.6,0.71
opennms.csv,0.0,0.28,0.03,0.25,0.26,1.0,0.17,0.33,0.0,0.18,0.05,0.14,0.25,0.42
ossim.csv,0.0,0.03,0.0,0.81,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
plplot.csv,0.5,0.72,0.48,0.56,0.62,0.71,0.5,0.95,0.38,0.54,0.68,0.32,0.75,0.71
qedo.csv,0.0,0.03,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.04,0.16,1.0,0.0,0.04
tradelink.csv,0.0,0.31,0.12,0.31,0.09,0.0,0.06,0.14,0.08,0.08,0.89,0.18,0.15,0.04
wgs-assembler.csv,0.0,1.0,0.0,0.5,0.41,0.25,0.39,0.29,0.15,0.18,0.37,0.05,0.3,0.21
