,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,1.0,6.0,1.0,1.0,6.0,18.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,0.0
biodwh.csv,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,2.0,1.0
brlcad.csv,6.0,0.0,1.0,3.0,7.0,1.0,6.0,0.0,4.0,1.0,0.0,2.0,18.0,3.0,0.0
delphilhlplib.csv,3.0,4.0,0.0,1.0,5.0,0.0,8.0,0.0,6.0,3.0,0.0,1.0,13.0,25.0,4.0
exordium.csv,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,10.0,1.0,7.0,6.0,3.0,0.0
fltk.csv,4.0,8.0,0.0,0.0,8.0,15.0,1.0,0.0,3.0,0.0,1.0,1.0,5.0,1.0,0.0
gzigzag.csv,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,11.0,2.0,0.0
jcache.csv,2.0,0.0,1.0,3.0,12.0,2.0,5.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,2.0
mimosa.csv,3.0,3.0,2.0,1.0,13.0,7.0,4.0,0.0,9.0,0.0,0.0,3.0,17.0,1.0,0.0
moast.csv,6.0,4.0,0.0,3.0,14.0,9.0,6.0,0.0,10.0,0.0,0.0,0.0,9.0,3.0,0.0
mptvseries.csv,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,0.0
ogre.csv,6.0,4.0,1.0,3.0,14.0,1.0,6.0,0.0,6.0,1.0,0.0,2.0,18.0,3.0,0.0
qdvdauthor.csv,1.0,1.0,0.0,2.0,14.0,8.0,7.0,0.0,8.0,1.0,0.0,0.0,4.0,4.0,2.0
sauerbraten.csv,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
zxing.csv,1.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,2.0,0.0
