,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.46,0.32,0.94,0.44,0.32,0.21,0.05,0.16,0.94,0.29,0.35,0.11,0.5,0.26,0.25
biodwh.csv,0.67,0.11,0.43,0.24,0.21,0.14,0.32,0.08,0.0,0.21,0.18,0.01,1.0,0.06,0.18
brlcad.csv,0.85,0.97,0.79,0.91,0.58,0.72,0.79,0.71,0.94,0.66,0.88,1.0,0.67,0.91,0.91
delphilhlplib.csv,0.79,0.94,0.98,0.7,0.95,0.62,0.58,0.69,1.0,0.55,0.78,1.0,0.42,0.88,0.79
exordium.csv,0.21,0.41,0.77,0.1,0.95,0.48,0.58,0.19,0.38,0.53,0.22,0.05,0.17,0.53,0.25
fltk.csv,0.74,0.68,0.42,0.97,0.74,0.45,0.53,0.2,0.19,0.42,0.5,0.97,0.42,0.26,0.12
gzigzag.csv,0.31,0.07,0.4,0.42,0.32,1.0,0.42,0.45,0.06,0.08,0.32,0.11,0.42,0.24,0.18
jcache.csv,0.72,0.94,0.91,0.36,0.53,0.86,0.63,0.53,0.75,0.66,0.48,0.93,0.83,1.0,0.66
mimosa.csv,0.92,0.77,0.72,0.64,0.89,0.62,0.74,0.44,0.62,1.0,0.57,0.06,0.42,0.65,0.32
moast.csv,1.0,1.0,0.92,1.0,1.0,0.9,1.0,1.0,0.94,1.0,1.0,1.0,1.0,0.91,0.84
mptvseries.csv,0.87,0.46,0.15,0.52,0.53,0.48,1.0,0.11,0.44,0.47,0.25,0.18,0.25,0.32,0.12
ogre.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0,0.95,1.0,0.92,1.0,0.95
qdvdauthor.csv,0.23,0.13,0.11,0.53,0.84,0.24,0.58,0.54,0.19,0.63,1.0,0.59,0.17,0.5,0.41
sauerbraten.csv,0.97,0.59,0.74,0.52,0.53,0.52,0.47,0.37,0.44,0.37,0.45,0.15,0.67,0.44,0.27
zxing.csv,0.49,0.0,0.45,0.58,0.26,0.38,0.74,0.32,0.31,0.29,0.62,0.21,0.67,0.29,0.96
