,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.5,0.36,0.57,0.48,0.36,0.24,0.06,0.19,0.95,0.33,0.39,0.1,0.52,0.31,0.29
biodwh.csv,0.68,0.13,0.44,0.28,0.25,0.17,0.37,0.1,0.0,0.25,0.21,0.01,1.0,0.07,0.21
brlcad.csv,0.17,0.98,0.35,0.3,0.48,0.46,0.56,0.65,0.35,0.25,0.46,0.13,0.54,0.35,0.58
delphilhlplib.csv,0.59,0.27,0.98,0.58,0.65,0.56,0.47,0.64,0.41,0.47,0.64,0.27,0.4,0.39,0.54
exordium.csv,0.25,0.43,0.67,0.12,0.96,0.51,0.57,0.22,0.4,0.55,0.26,0.05,0.2,0.44,0.29
fltk.csv,0.66,0.65,0.47,0.97,0.71,0.47,0.57,0.23,0.22,0.46,0.51,0.89,0.47,0.3,0.15
gzigzag.csv,0.36,0.09,0.37,0.46,0.37,1.0,0.45,0.46,0.07,0.1,0.36,0.13,0.46,0.28,0.21
jcache.csv,0.56,0.51,0.0,0.4,0.53,0.66,0.58,0.52,0.6,0.6,0.51,0.8,0.61,1.0,0.63
mimosa.csv,0.6,0.47,0.64,0.63,0.64,0.62,0.68,0.45,0.6,1.0,0.55,0.07,0.44,0.67,0.36
moast.csv,0.0,0.0,0.37,0.0,0.0,0.47,0.0,0.0,0.55,0.69,0.0,1.0,0.45,0.84,0.38
mptvseries.csv,0.74,0.46,0.18,0.56,0.57,0.52,0.99,0.13,0.48,0.52,0.29,0.21,0.29,0.37,0.15
ogre.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qdvdauthor.csv,0.27,0.16,0.13,0.5,0.45,0.28,0.55,0.44,0.22,0.58,1.0,0.64,0.2,0.54,0.45
sauerbraten.csv,0.98,0.54,0.63,0.55,0.55,0.55,0.5,0.41,0.48,0.41,0.45,0.17,0.65,0.49,0.31
zxing.csv,0.51,0.0,0.37,0.58,0.3,0.41,0.72,0.3,0.35,0.32,0.63,0.24,0.63,0.32,0.97
