,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.13,0.41,0.35,0.35,0.25,0.27,0.24,0.98,0.41,0.39,0.31,0.34,0.49,0.18,0.26,0.29,0.49,0.44
bacula.csv,1.0,0.51,0.68,0.61,0.7,0.52,0.62,0.56,0.57,0.5,0.68,0.68,0.57,0.62,0.5,0.41,0.61,0.82
blue-c.csv,0.6,0.66,0.3,0.57,0.59,0.65,0.98,0.6,0.4,0.59,0.78,0.47,0.74,0.7,0.48,0.51,0.64,0.56
enlightenment.csv,0.49,0.5,0.53,0.47,0.57,0.98,0.65,0.51,0.55,0.47,0.5,0.47,0.64,0.62,0.57,0.63,0.74,0.82
fltk.csv,0.21,0.99,0.42,0.62,0.42,0.3,0.16,0.55,0.36,0.45,0.66,0.18,0.58,0.32,0.49,0.15,0.53,0.64
freewrl.csv,0.63,0.55,0.5,0.35,0.46,0.44,0.38,0.41,0.54,0.5,0.58,1.0,0.49,0.63,0.55,0.51,0.58,0.6
genecys.csv,0.57,0.58,0.68,0.32,0.6,0.64,0.74,0.6,0.68,0.62,0.98,0.61,0.3,0.5,0.35,0.63,0.38,0.59
genoviz.csv,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.17,1.0
gzigzag.csv,0.32,0.04,0.0,0.12,1.0,0.26,0.16,0.26,0.26,0.16,0.02,0.05,0.24,0.48,0.19,0.0,0.27,0.45
jparsec.csv,0.5,0.49,0.13,0.44,0.54,0.54,0.5,0.74,0.66,0.53,0.55,0.05,0.55,0.52,0.93,0.42,0.62,0.78
lportal.csv,0.24,0.39,0.34,0.04,0.27,0.41,0.37,0.0,0.34,0.5,0.12,0.6,0.16,0.2,0.0,0.42,0.88,0.6
ogrehg.csv,0.63,0.5,0.54,0.2,0.55,0.49,0.52,0.52,0.62,0.98,0.58,0.37,0.7,0.59,0.4,0.43,0.62,0.84
patterntesting.csv,0.55,0.56,0.74,1.0,0.64,0.48,0.64,0.71,0.66,0.45,0.59,0.65,0.61,0.64,0.62,0.14,0.69,0.6
pfaedit.csv,0.51,0.24,1.0,0.35,0.62,0.35,0.41,0.59,0.47,0.43,0.33,0.05,0.36,0.64,0.42,0.29,0.35,0.71
pgui.csv,0.37,0.39,0.23,0.64,0.48,0.44,0.38,0.5,0.37,0.52,0.41,0.5,0.39,0.97,0.49,0.14,0.36,0.23
roller.csv,0.18,0.52,0.34,0.68,0.65,0.39,0.81,0.46,0.29,0.56,0.5,0.0,0.97,0.25,0.41,0.53,0.71,0.58
sylpheed-claws.csv,0.52,0.49,0.73,0.44,0.67,0.5,0.59,0.65,0.98,0.6,0.58,0.51,0.68,0.55,0.44,0.42,0.66,0.7
xbg.csv,0.01,0.09,0.0,0.0,0.09,0.02,0.0,0.0,0.14,0.19,0.0,0.05,0.1,0.0,0.0,0.9,0.01,0.24
