,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.76,0.99,0.7,0.94,1.0,0.9,1.0,0.97,0.06,1.04,0.95,1.3,0.88,0.91,0.82
biodwh.csv,0.86,1.0,0.67,0.76,0.86,0.78,0.7,0.79,0.78,0.92,0.55,1.17,0.0,0.58,0.65
brlcad.csv,0.8,0.05,1.0,0.98,0.99,0.83,0.79,0.76,0.93,1.04,0.85,0.93,0.8,0.94,0.94
delphilhlplib.csv,0.64,0.54,0.0,0.88,0.58,0.56,0.88,0.95,0.59,0.66,0.88,0.92,0.84,0.6,0.89
exordium.csv,0.65,0.74,0.71,0.91,0.0,0.59,0.81,0.78,0.73,0.74,0.88,1.29,0.77,0.56,0.56
fltk.csv,0.46,0.87,0.66,0.02,0.46,0.59,0.55,0.84,0.75,0.58,0.8,0.55,0.78,0.77,0.93
gzigzag.csv,0.52,0.66,0.96,0.72,0.66,0.03,0.43,0.73,0.82,0.82,0.91,1.01,0.93,0.73,0.97
jcache.csv,0.68,0.7,0.91,0.73,0.79,0.76,0.83,0.84,0.63,0.83,0.79,0.87,0.79,0.0,0.65
mimosa.csv,0.71,0.84,0.72,0.56,0.73,0.68,0.88,0.58,0.76,0.06,0.76,0.26,0.76,0.38,0.82
moast.csv,1.0,1.0,0.89,1.0,1.0,0.82,1.0,1.0,0.82,0.98,1.0,0.0,0.93,0.86,0.78
mptvseries.csv,0.62,0.7,0.45,0.61,0.57,0.74,0.0,0.85,0.61,0.66,0.77,0.67,0.69,0.77,0.88
ogre.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
qdvdauthor.csv,0.81,0.68,0.84,0.79,0.76,0.93,0.86,0.98,0.66,0.75,0.0,0.97,0.93,0.91,0.86
sauerbraten.csv,0.0,0.99,0.89,0.65,0.48,0.61,0.82,0.84,0.7,0.64,0.86,0.89,0.65,0.46,0.84
zxing.csv,0.73,1.0,0.66,0.84,0.69,0.62,0.61,0.94,0.71,0.88,0.62,1.05,0.72,0.67,0.0
