,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.57,0.59,0.48,0.1,0.47,0.63,0.69,0.63,0.36,0.54,0.17,0.33,0.55,0.6,0.17,0.76,0.0,0.64
ardour.csv,0.53,0.76,0.62,0.43,0.53,0.46,0.5,0.69,0.4,0.64,0.54,0.5,0.6,0.67,0.2,0.79,0.6,0.69
bacnet.csv,0.62,0.73,0.62,0.57,0.55,0.72,0.3,0.65,0.4,0.3,0.64,0.49,0.59,0.64,0.45,0.71,0.66,0.13
cortex-vfx.csv,0.42,0.36,0.35,0.57,0.28,0.43,0.39,0.58,0.46,0.44,0.5,0.59,0.6,0.58,0.2,0.71,0.55,0.52
enzo.csv,0.66,0.59,0.56,0.55,0.21,0.48,0.61,0.64,0.63,0.82,0.71,0.45,0.47,0.66,0.33,0.3,0.58,0.24
growl-for-windows.csv,0.56,0.0,0.0,0.13,0.56,0.53,0.57,0.0,0.56,0.04,0.62,0.0,0.54,0.0,0.76,0.11,0.59,0.64
heekscad.csv,0.74,0.63,0.6,0.67,0.51,0.5,0.56,0.69,0.62,0.1,0.65,0.65,0.62,0.71,0.49,0.52,0.71,0.31
minig.csv,0.36,0.34,0.38,0.13,0.68,0.29,0.42,0.36,0.35,0.25,0.39,0.51,0.2,0.45,0.41,0.16,0.23,0.49
multitude.csv,0.78,0.63,0.58,0.55,0.0,0.7,0.59,0.54,0.72,0.64,0.73,0.57,0.64,0.51,0.49,0.63,0.66,0.71
natpad.csv,0.7,0.65,0.67,0.61,0.54,0.77,0.28,0.69,0.43,0.37,0.75,0.56,0.48,0.48,0.45,0.78,0.74,0.25
open-ms.csv,0.34,0.54,0.58,0.28,0.28,0.22,0.42,0.48,0.36,0.18,0.17,0.52,0.58,0.59,0.26,0.7,0.11,0.59
planeshift.csv,0.73,0.45,0.71,0.45,0.59,0.33,0.57,0.24,0.63,0.17,0.21,0.21,0.62,0.17,0.44,0.51,0.7,0.24
rocrail.csv,0.68,0.71,0.65,0.53,0.37,0.46,0.61,0.68,0.62,0.59,0.63,0.59,0.51,0.58,0.45,0.8,0.68,0.22
salasaga.csv,0.65,0.65,0.6,0.53,0.53,0.73,0.28,0.7,0.27,0.26,0.71,0.42,0.51,0.35,0.41,0.63,0.62,0.11
xcsoar.csv,0.67,0.68,0.51,0.5,0.64,0.46,0.64,0.7,0.65,0.6,0.5,0.47,0.62,0.64,0.65,0.78,0.67,0.61
xemeiah.csv,0.66,0.66,0.65,0.59,0.61,0.76,0.55,0.7,0.4,0.42,0.73,0.54,0.71,0.55,0.43,0.8,0.76,0.67
xmoto.csv,0.57,0.66,0.53,0.25,0.37,0.63,0.45,0.66,0.58,0.02,0.7,0.56,0.7,0.37,0.2,0.61,0.63,0.27
zxing.csv,0.61,0.68,0.64,0.1,0.52,0.65,0.38,0.67,0.4,0.45,0.44,0.54,0.57,0.61,0.29,0.82,0.47,0.75
