,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.42,0.01,0.13,0.05,0.48,0.81,0.0,0.0,0.04,0.12,0.67,0.0,0.23
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gisgraphy.csv,0.0,0.02,0.13,0.12,0.38,0.5,0.02,0.25,0.06,0.07,0.37,0.0,0.84
jaxen.csv,0.34,0.01,0.16,0.0,0.29,0.9,0.0,0.0,0.04,0.23,0.75,0.0,0.28
jvcl.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-m-m.csv,0.33,0.02,0.1,0.07,0.24,0.93,0.02,0.06,0.06,0.22,0.41,0.02,0.31
motu.csv,0.43,0.08,0.11,0.04,0.22,1.0,0.0,0.06,0.06,0.57,0.77,0.0,0.22
nh3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wgs-assembler.csv,0.53,0.01,0.08,0.15,0.12,1.0,0.0,0.0,0.08,0.43,1.0,0.0,0.0
zabbix.csv,0.36,0.0,0.12,0.06,0.19,0.93,0.0,0.04,0.06,0.29,0.79,0.0,0.59
