,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.79,0.6,0.73,0.46,0.43,0.51,0.89,0.78,0.61,0.6,0.13,0.64,0.79,0.96,0.57,0.77,0.21
delphilhlplib.csv,0.76,0.81,0.55,0.46,0.36,0.61,0.66,0.74,0.59,0.62,0.26,0.64,0.62,0.96,0.47,0.67,0.21
exordium.csv,0.77,0.77,0.56,0.65,0.37,0.56,0.87,0.57,0.25,0.46,0.21,0.57,0.6,0.33,0.51,0.43,0.31
fltk.csv,0.78,0.76,0.7,0.53,0.37,0.56,0.8,0.7,0.68,0.5,0.39,0.71,0.74,0.95,0.47,0.7,0.24
genoviz.csv,0.42,0.65,0.15,0.35,0.39,0.09,0.21,0.19,0.11,0.19,0.0,0.22,0.14,0.27,0.33,0.0,0.67
gzigzag.csv,0.76,0.36,0.34,0.47,0.47,0.36,0.58,0.35,0.63,0.27,0.08,0.4,0.46,0.49,0.46,0.25,0.25
irrlicht.csv,0.76,0.85,0.73,0.4,0.38,0.55,0.92,0.77,0.6,0.52,0.15,0.71,0.71,0.94,0.0,0.87,0.18
moast.csv,0.18,0.39,0.34,0.35,0.37,0.24,0.92,0.36,0.6,0.25,0.05,0.55,0.16,0.98,0.11,0.5,0.23
mptvseries.csv,0.72,0.11,0.61,0.44,0.37,0.7,0.7,0.47,0.7,0.48,0.27,0.44,0.58,0.13,0.46,0.68,0.31
openfrag.csv,0.78,0.84,0.71,0.52,0.4,0.68,0.91,0.77,0.7,0.59,0.18,0.79,0.7,0.93,0.51,0.74,0.2
qse.csv,0.62,0.59,0.72,0.44,0.42,0.56,0.88,0.66,0.79,0.51,0.19,0.48,0.5,0.95,0.42,0.78,0.16
sauerbraten.csv,0.77,0.65,0.73,0.44,0.42,0.47,0.91,0.84,0.6,0.53,0.13,0.73,0.75,0.96,0.41,0.77,0.06
toped.csv,0.8,0.77,0.63,0.38,0.34,0.57,0.88,0.76,0.6,0.33,0.14,0.61,0.74,0.95,0.45,0.65,0.2
truevision.csv,0.77,0.88,0.66,0.53,0.4,0.62,0.8,0.68,0.72,0.68,0.27,0.7,0.62,0.95,0.46,0.65,0.23
uwom.csv,0.79,0.48,0.66,0.55,0.45,0.57,0.24,0.7,0.24,0.56,0.23,0.45,0.76,0.12,0.62,0.42,0.24
zoolib.csv,0.79,0.7,0.58,0.47,0.38,0.67,0.71,0.6,0.39,0.45,0.33,0.4,0.61,0.94,0.6,0.3,0.23
zxing.csv,0.63,0.34,0.55,0.31,0.36,0.54,0.66,0.39,0.11,0.43,0.1,0.34,0.44,0.14,0.51,0.8,0.35
