$LOC_BLANK,$BRANCH_COUNT,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CYCLOMATIC_COMPLEXITY,$DESIGN_COMPLEXITY,$ESSENTIAL_COMPLEXITY,$LOC_EXECUTABLE,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$LOC_TOTAL,$>Defective
22.0,43.0,3.0,11.0,26.0,18.0,15.0,128.0,109.63,42.03,193686.35,1.54,666.0,0.02,10760.35,4607.96,255.0,411.0,91.0,30.0,131.0,F
2.0,11.0,0.0,1.0,7.0,6.0,1.0,35.0,55.65,17.14,16352.99,0.32,165.0,0.06,908.5,953.92,60.0,105.0,35.0,20.0,35.0,F
0.0,7.0,0.0,0.0,5.0,4.0,3.0,23.0,29.4,14.39,6090.84,0.14,89.0,0.07,338.38,423.18,31.0,58.0,14.0,13.0,23.0,F
5.0,18.0,0.0,0.0,10.0,10.0,5.0,52.0,80.76,27.14,59492.48,0.73,353.0,0.04,3305.14,2191.94,137.0,216.0,53.0,21.0,52.0,F
1.0,13.0,0.0,0.0,7.0,7.0,1.0,22.0,54.54,15.58,13243.53,0.28,153.0,0.06,735.75,849.85,55.0,98.0,30.0,17.0,22.0,F
5.0,11.0,0.0,11.0,7.0,5.0,1.0,44.0,42.06,32.72,45051.12,0.46,236.0,0.03,2502.84,1376.56,90.0,146.0,33.0,24.0,44.0,F
5.0,11.0,0.0,2.0,6.0,5.0,1.0,22.0,35.31,19.55,13490.6,0.23,128.0,0.05,749.48,690.22,43.0,85.0,22.0,20.0,22.0,F
3.0,7.0,0.0,2.0,4.0,4.0,1.0,17.0,33.69,16.2,8841.71,0.18,104.0,0.06,491.21,545.78,36.0,68.0,20.0,18.0,17.0,F
1.0,7.0,0.0,0.0,4.0,4.0,1.0,12.0,44.33,7.33,2383.85,0.11,70.0,0.14,132.44,325.07,22.0,48.0,15.0,10.0,12.0,F
5.0,11.0,0.0,5.0,6.0,6.0,1.0,28.0,44.43,18.41,15056.5,0.27,157.0,0.05,836.47,817.88,54.0,103.0,22.0,15.0,28.0,F
2.0,5.0,0.0,0.0,3.0,3.0,1.0,15.0,40.99,14.0,8034.06,0.19,111.0,0.07,446.34,573.86,44.0,67.0,22.0,14.0,15.0,F
3.0,5.0,0.0,0.0,3.0,3.0,1.0,21.0,45.77,15.0,10297.93,0.23,129.0,0.07,572.11,686.53,50.0,79.0,25.0,15.0,21.0,F
3.0,11.0,0.0,0.0,6.0,4.0,4.0,21.0,37.67,18.75,13244.88,0.24,131.0,0.05,735.83,706.39,50.0,81.0,24.0,18.0,21.0,F
11.0,43.0,0.0,4.0,22.0,17.0,12.0,103.0,70.89,48.94,169799.06,1.16,557.0,0.02,9433.28,3469.45,208.0,349.0,51.0,24.0,103.0,F
1.0,5.0,0.0,0.0,3.0,3.0,1.0,12.0,26.16,9.23,2229.05,0.08,52.0,0.11,123.84,241.48,20.0,32.0,13.0,12.0,12.0,F
1.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,18.67,7.71,1110.86,0.05,36.0,0.13,61.71,144.0,12.0,24.0,7.0,9.0,8.0,F
3.0,11.0,0.0,0.0,6.0,6.0,1.0,25.0,30.2,25.0,18875.0,0.25,151.0,0.04,1048.61,755.0,50.0,101.0,16.0,16.0,25.0,F
0.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,20.81,9.0,1685.67,0.06,42.0,0.11,93.65,187.3,15.0,27.0,10.0,12.0,8.0,F
0.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,16.32,4.67,355.35,0.03,20.0,0.21,19.74,76.15,7.0,13.0,6.0,8.0,4.0,F
5.0,11.0,0.0,0.0,6.0,5.0,1.0,22.0,39.49,17.0,11411.18,0.22,127.0,0.06,633.95,671.25,44.0,83.0,22.0,17.0,22.0,F
1.0,5.0,0.0,0.0,3.0,3.0,1.0,11.0,23.27,11.38,3010.96,0.09,57.0,0.09,167.28,264.7,21.0,36.0,12.0,13.0,11.0,F
15.0,33.0,0.0,9.0,17.0,13.0,12.0,76.0,69.47,40.7,115062.64,0.94,473.0,0.02,6392.37,2827.25,175.0,298.0,43.0,20.0,76.0,F
15.0,19.0,1.0,8.0,10.0,9.0,4.0,64.0,59.77,42.39,107406.67,0.84,412.0,0.02,5967.04,2533.7,156.0,256.0,46.0,25.0,65.0,F
5.0,19.0,0.0,0.0,11.0,11.0,7.0,71.0,122.92,19.86,48468.15,0.81,385.0,0.05,2692.68,2440.84,139.0,246.0,63.0,18.0,71.0,F
1.0,20.0,0.0,2.0,11.0,8.0,1.0,39.0,60.86,22.0,29456.04,0.45,224.0,0.05,1636.45,1338.91,82.0,142.0,41.0,22.0,39.0,F
5.0,3.0,0.0,1.0,2.0,2.0,1.0,17.0,50.08,14.0,9816.39,0.23,139.0,0.07,545.36,701.17,56.0,83.0,22.0,11.0,17.0,F
12.0,11.0,0.0,0.0,7.0,5.0,4.0,54.0,88.12,18.17,29080.61,0.53,271.0,0.06,1615.59,1600.77,109.0,162.0,45.0,15.0,54.0,F
19.0,18.0,0.0,1.0,11.0,9.0,7.0,88.0,151.9,21.7,71508.8,1.1,504.0,0.05,3972.71,3295.74,194.0,310.0,76.0,17.0,88.0,F
9.0,12.0,0.0,2.0,7.0,7.0,6.0,30.0,52.03,24.0,29970.57,0.42,216.0,0.04,1665.03,1248.77,84.0,132.0,35.0,20.0,30.0,F
2.0,3.0,0.0,1.0,2.0,2.0,1.0,8.0,26.84,8.18,1796.86,0.07,50.0,0.12,99.83,219.62,18.0,32.0,11.0,10.0,8.0,F
1.0,6.0,0.0,0.0,4.0,3.0,1.0,20.0,36.92,14.61,7876.2,0.18,106.0,0.07,437.57,539.27,37.0,69.0,19.0,15.0,20.0,F
1.0,6.0,0.0,0.0,4.0,3.0,3.0,19.0,29.26,13.5,5332.5,0.13,79.0,0.07,296.25,395.0,27.0,52.0,16.0,16.0,19.0,F
28.0,59.0,1.0,38.0,36.0,34.0,20.0,241.0,238.08,40.75,395438.84,3.23,1287.0,0.02,21968.82,9702.9,480.0,807.0,159.0,27.0,242.0,F
12.0,15.0,0.0,16.0,9.0,9.0,1.0,61.0,90.69,22.53,46024.85,0.68,327.0,0.04,2556.94,2043.07,118.0,209.0,55.0,21.0,61.0,F
0.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,20.33,9.78,1943.91,0.07,46.0,0.1,107.99,198.81,16.0,30.0,9.0,11.0,8.0,F
4.0,5.0,0.0,0.0,3.0,3.0,1.0,19.0,58.1,12.43,8983.13,0.24,142.0,0.08,499.06,722.42,52.0,90.0,23.0,11.0,19.0,F
0.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,20.33,9.78,1943.91,0.07,46.0,0.1,107.99,198.81,16.0,30.0,9.0,11.0,8.0,F
20.0,25.0,2.0,18.0,14.0,9.0,5.0,102.0,163.29,25.13,103097.32,1.37,590.0,0.04,5727.63,4102.97,233.0,357.0,102.0,22.0,104.0,F
2.0,13.0,0.0,0.0,8.0,6.0,3.0,36.0,46.09,20.67,19687.59,0.32,179.0,0.05,1093.75,952.63,62.0,117.0,24.0,16.0,36.0,F
