,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.73,0.66,0.08,0.41,0.84,0.88,0.04,0.18,1.0,0.56,0.81,0.61
delphilhlplib.csv,0.88,0.83,0.15,0.42,1.0,0.94,0.04,0.75,1.0,0.11,0.79,0.8
factor.csv,0.0,0.61,0.22,0.42,0.88,0.67,0.05,0.33,0.91,0.09,0.88,0.65
fceugc.csv,0.74,0.54,0.33,0.54,0.46,0.96,0.02,0.19,0.69,0.21,0.66,0.0
fltk.csv,0.83,0.76,0.28,0.42,0.86,0.91,0.04,0.3,1.0,0.17,0.85,0.57
jstock.csv,0.75,0.75,0.16,0.44,0.88,0.98,0.05,0.52,1.0,0.25,0.86,0.71
lportal.csv,1.0,0.69,0.2,0.0,1.0,1.0,0.15,0.0,1.0,0.0,1.0,0.8
natpad.csv,0.74,0.59,0.21,0.35,0.64,0.95,0.05,0.37,0.93,0.14,0.88,0.6
ogre.csv,0.72,0.61,0.25,0.3,0.29,1.0,0.04,0.23,0.71,0.17,0.38,0.41
phet.csv,0.76,0.31,0.44,0.24,0.18,1.0,0.03,0.2,0.58,0.08,0.6,0.19
sandiaportals.csv,0.8,0.66,0.17,0.41,0.68,0.93,0.05,0.6,0.93,0.12,0.86,0.58
sumatrapdf.csv,0.74,0.6,0.23,0.36,0.7,0.97,0.04,0.32,0.88,0.17,0.7,0.58
