,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.73,0.59,0.55,0.57,0.6,0.44,0.64,0.96,0.42,0.67,0.48
codesmith.csv,0.37,0.43,0.37,0.55,0.67,0.55,0.66,0.5,0.67,0.48,0.98
javaprofiler.csv,0.86,0.57,0.47,0.53,0.51,0.39,0.52,0.59,0.58,0.99,0.5
jpaul.csv,1.0,0.39,0.3,0.16,0.31,0.33,0.68,0.41,0.09,0.2,0.2
jrdf.csv,0.69,0.35,0.24,0.52,0.94,0.36,0.62,0.09,0.12,0.47,0.32
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.28,1.0,0.49,0.3,0.49,0.44,0.63,0.58,0.12,0.58,0.44
synecdoche.csv,0.51,0.38,0.2,0.48,0.51,0.29,0.37,0.32,0.94,0.48,0.49
tycho.csv,0.32,0.4,1.0,0.51,0.23,0.39,0.64,0.09,0.58,0.45,0.23
unicase.csv,0.46,0.51,0.0,0.99,0.46,0.6,0.36,0.49,0.41,0.29,0.3
xcmetadataservicestoolkit.csv,0.47,0.56,0.38,0.67,0.48,0.99,0.09,0.43,0.58,0.56,0.52
