,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.55,0.59,0.7,0.52,0.55,0.46,0.52,0.69,0.5,0.55,0.61
codesmith.csv,0.58,0.55,0.57,0.57,0.38,0.62,0.54,0.46,0.38,0.48,0.44
javaprofiler.csv,0.58,0.46,0.44,0.47,0.34,0.36,0.38,0.47,0.41,0.49,0.43
jpaul.csv,0.65,0.7,0.75,0.99,0.88,0.83,0.53,0.65,0.86,0.87,0.79
jrdf.csv,0.5,0.53,0.78,0.47,0.8,0.56,0.33,0.8,0.88,0.62,0.56
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.76,0.76,0.57,0.85,0.62,0.48,0.5,0.86,0.91,0.69,0.71
synecdoche.csv,0.53,0.54,0.73,0.53,0.57,0.75,0.7,0.68,0.63,0.57,0.61
tycho.csv,0.62,0.55,0.54,0.44,0.71,0.65,0.53,0.9,0.73,0.59,0.88
unicase.csv,0.44,0.52,0.0,0.44,0.38,0.47,0.35,0.44,0.5,0.54,0.61
xcmetadataservicestoolkit.csv,0.5,0.43,0.45,0.4,0.54,0.39,0.34,0.45,0.41,0.46,0.46
