,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.55,0.48,0.58,0.73,0.34,0.65,0.12,0.98,0.37,0.75,0.56
codesmith.csv,0.28,0.35,0.41,0.64,0.4,0.66,0.15,0.43,0.62,0.58,0.99
javaprofiler.csv,0.67,0.46,0.64,0.63,0.38,0.74,0.08,0.52,0.55,0.99,0.59
jpaul.csv,1.0,0.37,0.38,0.22,0.35,0.42,0.18,0.38,0.11,0.29,0.27
jrdf.csv,0.67,0.32,0.32,0.6,0.93,0.46,0.12,0.13,0.16,0.56,0.37
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.24,1.0,0.53,0.39,0.3,0.55,0.11,0.57,0.15,0.65,0.51
synecdoche.csv,0.5,0.34,0.26,0.58,0.37,0.38,0.09,0.28,0.96,0.56,0.57
tycho.csv,0.24,0.31,1.0,0.75,0.17,0.49,0.12,0.12,0.58,0.53,0.29
unicase.csv,0.33,0.44,0.0,0.99,0.32,0.69,0.1,0.46,0.39,0.51,0.35
xcmetadataservicestoolkit.csv,0.34,0.46,0.56,0.78,0.28,0.99,0.09,0.37,0.51,0.67,0.59
