,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.62,0.37,0.26,0.17,0.79,0.62,0.52,0.5,0.19,0.71,1.0,0.5,0.0
ftm.csv,0.79,0.27,0.33,0.13,0.87,0.66,0.47,0.88,0.27,0.64,0.81,0.62,0.87
google-web-toolkit.csv,0.67,0.14,0.31,0.08,0.66,0.71,0.47,0.85,0.12,0.62,0.72,0.61,0.7
gzigzag.csv,0.81,0.23,0.38,0.08,1.0,0.59,0.6,0.92,0.25,0.53,0.71,0.49,0.76
illumination.csv,1.0,0.0,0.27,0.0,0.49,0.0,0.0,1.0,0.67,0.33,0.67,1.0,0.46
jcache.csv,0.54,0.31,0.25,0.09,0.56,0.61,0.42,0.68,0.23,0.85,0.62,0.44,0.82
moast.csv,0.71,0.25,0.23,0.03,0.66,0.55,0.41,0.56,0.2,1.0,0.59,0.32,0.26
nativeclient.csv,0.71,0.3,0.25,0.12,0.6,0.62,0.44,0.69,0.22,0.9,0.77,0.59,0.68
ns-3-dev-def-routing.csv,0.65,0.25,0.28,0.18,0.83,0.6,0.53,0.76,0.12,1.0,0.68,0.59,0.74
openfrag.csv,0.64,0.26,0.24,0.15,0.81,0.62,0.49,0.74,0.28,0.89,0.71,0.47,0.46
qdvdauthor.csv,0.86,0.23,0.25,0.03,0.54,0.56,0.44,0.79,0.2,0.99,0.59,0.5,0.38
sauerbraten.csv,0.89,0.25,0.27,0.08,0.55,0.61,0.38,0.7,0.22,0.91,0.59,0.48,0.44
zoolib.csv,0.67,0.53,0.27,0.23,0.88,0.61,0.55,0.64,0.1,0.91,0.84,0.59,0.76
