,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.95,0.74,0.24,0.65,0.17,0.26,0.34,0.12,0.35,0.13,0.06,0.84,0.0
ftm.csv,0.38,0.38,0.59,0.39,0.5,0.38,0.6,0.38,0.24,0.1,0.39,0.66,0.59
google-web-toolkit.csv,0.9,0.11,0.55,0.13,0.29,0.67,0.49,0.57,0.06,0.17,0.37,0.64,0.82
gzigzag.csv,0.67,0.02,0.52,0.06,0.12,0.39,0.29,0.3,0.06,0.07,0.08,0.85,0.76
illumination.csv,0.03,0.0,0.79,0.0,0.67,0.0,0.0,0.1,0.71,0.01,0.11,0.02,0.94
jcache.csv,0.56,0.93,0.79,0.9,0.86,0.73,0.9,0.7,0.76,0.5,0.9,0.26,0.94
moast.csv,0.13,1.0,0.83,0.06,0.44,0.4,0.38,0.12,0.41,0.97,1.0,0.1,0.32
nativeclient.csv,0.74,0.82,0.72,0.94,0.79,0.69,0.83,0.62,0.59,0.98,0.7,0.64,0.82
ns-3-dev-def-routing.csv,1.0,0.97,0.48,0.61,0.53,0.52,0.63,0.55,0.18,0.9,0.47,0.75,0.5
openfrag.csv,0.95,0.79,0.62,0.32,0.71,0.75,0.76,0.5,0.47,0.83,0.41,0.98,0.91
qdvdauthor.csv,0.31,0.78,0.38,0.1,0.67,0.35,0.72,0.78,0.29,0.6,0.88,0.87,0.68
sauerbraten.csv,0.79,0.96,0.86,0.87,1.0,0.8,0.94,1.0,0.82,1.0,0.99,0.98,0.91
zoolib.csv,0.9,0.24,0.69,0.68,0.32,0.46,0.56,0.4,0.18,0.99,0.18,0.62,0.47
