,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.06,0.0,0.0,0.09,0.11,0.04,0.0,0.03,0.0,0.06,0.0,0.05
echongl.csv,0.39,0.3,0.57,0.21,0.78,0.43,0.03,0.39,0.58,0.59,0.79,0.43
hazelcast.csv,0.7,0.0,0.83,0.84,0.67,0.96,1.0,0.7,1.0,0.65,0.92,0.81
japano.csv,0.82,0.9,0.91,0.57,0.0,0.61,1.0,0.72,1.0,0.83,0.6,0.62
jmol.csv,0.3,0.2,0.17,0.47,0.67,0.17,0.18,0.55,0.5,0.48,0.69,0.54
mobicents.csv,0.28,0.6,0.17,0.01,0.44,0.43,0.16,0.41,0.25,0.34,0.33,0.26
nunit.csv,0.25,1.0,0.17,0.23,0.44,0.22,0.24,0.19,0.29,0.04,0.27,0.0
openefm.csv,0.01,0.2,0.3,0.5,0.33,0.52,0.13,0.28,0.21,0.61,0.52,0.46
snakeyaml.csv,0.76,0.8,0.7,0.63,0.33,0.26,0.5,0.01,0.75,0.69,0.56,0.72
trackit.csv,0.55,0.2,0.04,0.42,0.44,0.39,0.82,0.34,0.46,0.31,0.44,0.35
unicase.csv,0.73,0.3,0.78,0.46,0.89,0.78,0.61,0.69,0.42,0.01,0.71,0.47
wheat.csv,0.33,0.3,0.22,0.49,0.67,0.0,0.32,0.59,0.0,0.31,0.17,0.39
